ID	Symbol	Sites view	Total count	V$SNA_Q4	V$AP1_Q4_01	V$AP1_01	V$CFOS_Q4	V$CFOS_Q6	V$BETACATENIN_Q3	V$RELBP52_01	V$JUN_09	V$FOXM1_Q3	V$MATH1_Q2	V$AP1_Q6_01	V$E2A_Q6_01	V$E2A_04	V$JUN_03	V$JUN_08	V$MYOD_Q6_01	V$E2A_Q6_02	V$E2A_Q2	V$STAT3STAT3_Q3	V$NFKAPPAB_01	V$MIZ1_01	V$BATFJUN_01	V$AP1_02	V$FOS_02	V$FOXM1_01	V$BETACATENIN_Q6_01	V$FOS_06	V$E12_Q6	V$TEAD4TCF3_01	V$JUNBFOS_01	V$RELA_08	V$TCF4_Q5_02	V$JUN_04	V$SNA_05	V$JUNFRA1_01	V$BETACATENIN_Q3_01	V$E47_02	V$FOS_11	V$JUN_06	V$FLI1TCF3_01	V$P50RELAP65_Q5_01	V$HOXB2TCF3_01	V$JUNDFOS_01	V$E2A_03	V$SNA_02	V$JUNBJUN_01	V$FOSJUN_02	V$BETACATENIN_Q6	V$E47_01	V$JUNFOSB_01	V$RELA_03	V$FOS_10	V$FOS_03	V$JUNFRA2_01	V$SNA_04	V$SNA_01	V$TAL1BETAE47_01	V$HAND1E47_01
ENSG00000162772	ATF3	DataElement[ENSG00000162772] class=class ru.biosoft.bsa.project.ProjectAsLists	124	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	2	0	0	0	1	1	1	3	2	0	1	2	1	1	2	3	1	1	2	2	0	2	3	4	5	2	2	8	7	9	2	8	6	3	6	14	12
ENSG00000061938	TNK2	DataElement[ENSG00000061938] class=class ru.biosoft.bsa.project.ProjectAsLists	120	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	4	1	0	0	1	0	1	1	1	1	2	0	1	1	1	0	2	1	1	1	5	1	3	3	5	7	3	1	8	3	12	3	5	6	4	5	7	14
ENSG00000048392	RRM2B	DataElement[ENSG00000048392] class=class ru.biosoft.bsa.project.ProjectAsLists	119	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	13	1	0	0	1	0	0	0	0	1	7	0	1	0	0	0	0	0	2	1	16	1	2	0	4	2	2	0	6	2	23	2	4	3	1	5	2	12
ENSG00000108773	KAT2A	DataElement[ENSG00000108773] class=class ru.biosoft.bsa.project.ProjectAsLists	119	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	1	3	3	0	0	0	0	0	1	1	2	2	0	2	2	1	0	1	0	2	1	6	2	4	3	6	4	3	1	4	3	14	3	8	5	6	6	5	10
ENSG00000197467	COL13A1	DataElement[ENSG00000197467] class=class ru.biosoft.bsa.project.ProjectAsLists	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	2	0	0	1	1	1	0	0	2	0	1	2	2	2	1	0	0	1	0	4	1	3	0	4	4	4	2	2	4	18	2	8	4	3	4	2	12
ENSG00000143228	NUF2	DataElement[ENSG00000143228] class=class ru.biosoft.bsa.project.ProjectAsLists	114	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	2	3	0	0	2	0	5	0	1	5	1	0	5	1	4	0	0	1	2	0	1	0	6	0	1	9	7	2	0	11	4	3	5	10	1	1	4	12
ENSG00000090339	ICAM1	DataElement[ENSG00000090339] class=class ru.biosoft.bsa.project.ProjectAsLists	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	3	2	2	2	1	0	2	0	1	2	4	0	2	1	2	1	0	1	0	2	7	1	2	0	2	5	3	1	2	4	24	2	5	3	1	2	0	11
ENSG00000115414	FN1	DataElement[ENSG00000115414] class=class ru.biosoft.bsa.project.ProjectAsLists	108	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	24	0	0	0	0	0	0	0	0	0	2	0	1	1	1	0	1	0	0	1	13	1	1	2	3	2	1	2	3	2	19	1	2	1	2	3	5	11
ENSG00000123384	LRP1	DataElement[ENSG00000123384] class=class ru.biosoft.bsa.project.ProjectAsLists	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	20	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	2	10	0	1	0	1	0	0	3	1	0	36	1	5	1	1	1	2	13
ENSG00000096063	SRPK1	DataElement[ENSG00000096063] class=class ru.biosoft.bsa.project.ProjectAsLists	104	0	1	2	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	2	2	2	1	0	2	0	2	3	3	0	3	0	3	0	0	2	1	1	3	2	4	0	2	5	4	1	3	6	7	3	4	6	2	2	2	11
ENSG00000141646	SMAD4	DataElement[ENSG00000141646] class=class ru.biosoft.bsa.project.ProjectAsLists	104	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	3	0	2	2	0	0	0	0	2	0	1	2	1	0	2	2	2	0	0	0	1	1	4	5	2	0	4	3	2	5	3	4	7	1	5	3	3	4	8	17
ENSG00000077238	IL4R	DataElement[ENSG00000077238] class=class ru.biosoft.bsa.project.ProjectAsLists	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0	0	0	0	0	1	0	2	1	1	0	3	1	1	0	0	2	2	0	7	2	3	0	3	3	4	3	2	4	14	2	1	5	3	3	4	20
ENSG00000183496	MEX3B	DataElement[ENSG00000183496] class=class ru.biosoft.bsa.project.ProjectAsLists	103	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	3	0	0	0	1	0	0	0	3	1	1	3	0	2	1	0	2	2	1	3	2	3	0	0	3	3	3	0	4	16	3	3	4	0	0	2	7
ENSG00000010810	FYN	DataElement[ENSG00000010810] class=class ru.biosoft.bsa.project.ProjectAsLists	99	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0	7	0	0	0	0	2	0	2	2	0	1	2	0	2	0	2	2	0	0	1	2	0	0	3	5	2	0	3	7	1	13	0	6	1	6	6	6	10
ENSG00000115760	BIRC6	DataElement[ENSG00000115760] class=class ru.biosoft.bsa.project.ProjectAsLists	99	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	3	5	1	0	4	6	1	0	0	7	1	17	0	3	0	5	7	6	15
ENSG00000116670	MAD2L2	DataElement[ENSG00000116670] class=class ru.biosoft.bsa.project.ProjectAsLists	99	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	20	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	1	0	0	1	4	1	0	1	5	0	0	1	4	0	21	0	1	0	7	5	2	16
ENSG00000115750	TAF1B	DataElement[ENSG00000115750] class=class ru.biosoft.bsa.project.ProjectAsLists	97	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	2	0	0	3	0	1	2	1	1	1	0	1	1	0	5	1	5	0	1	5	6	3	1	5	7	4	6	9	1	2	3	15
ENSG00000116017	ARID3A	DataElement[ENSG00000116017] class=class ru.biosoft.bsa.project.ProjectAsLists	97	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	13	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	2	11	0	0	0	2	0	0	1	1	1	30	0	2	0	3	4	2	17
ENSG00000136603	SKIL	DataElement[ENSG00000136603] class=class ru.biosoft.bsa.project.ProjectAsLists	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	27	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	3	0	0	1	2	0	0	0	4	0	22	0	4	0	4	3	4	15
ENSG00000117153	KLHL12	DataElement[ENSG00000117153] class=class ru.biosoft.bsa.project.ProjectAsLists	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	2	2	1	1	3	0	1	3	1	4	2	1	3	1	0	0	1	5	1	1	5	5	2	2	5	4	4	4	6	1	2	3	11
ENSG00000175216	CKAP5	DataElement[ENSG00000175216] class=class ru.biosoft.bsa.project.ProjectAsLists	94	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	2	0	0	2	0	1	0	1	0	0	1	4	4	4	0	1	4	4	1	8	5	7	2	4	5	0	3	10	15
ENSG00000182541	LIMK2	DataElement[ENSG00000182541] class=class ru.biosoft.bsa.project.ProjectAsLists	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	3	1	0	0	1	1	1	1	1	2	2	1	1	1	2	1	1	0	1	3	4	1	2	1	2	2	2	1	1	2	10	1	1	2	4	2	5	22
ENSG00000196405	EVL	DataElement[ENSG00000196405] class=class ru.biosoft.bsa.project.ProjectAsLists	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	10	0	0	0	0	1	0	1	0	1	1	3	1	1	0	2	1	0	0	1	3	4	0	1	2	0	1	4	2	2	23	0	4	2	2	4	2	10
ENSG00000152465	NMT2	DataElement[ENSG00000152465] class=class ru.biosoft.bsa.project.ProjectAsLists	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	5	0	0	0	0	0	0	1	1	0	26	0	3	0	0	0	1	13
ENSG00000099940	SNAP29	DataElement[ENSG00000099940] class=class ru.biosoft.bsa.project.ProjectAsLists	91	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	18	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	1	6	1	0	1	4	1	1	0	5	1	17	0	1	1	5	6	2	13
ENSG00000149679	CABLES2	DataElement[ENSG00000149679] class=class ru.biosoft.bsa.project.ProjectAsLists	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	6	0	0	0	0	1	0	0	1	0	2	1	0	0	0	1	0	0	0	1	7	1	0	0	6	2	0	1	6	1	20	0	4	0	4	6	3	13
ENSG00000169679	BUB1	DataElement[ENSG00000169679] class=class ru.biosoft.bsa.project.ProjectAsLists	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	5	0	0	0	0	1	0	1	1	0	1	1	0	1	0	1	1	0	0	1	2	1	4	1	3	4	4	3	2	4	12	3	3	7	3	4	3	11
ENSG00000067900	ROCK1	DataElement[ENSG00000067900] class=class ru.biosoft.bsa.project.ProjectAsLists	89	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	1	0	0	1	5	1	0	2	6	0	0	1	4	0	17	0	2	1	5	6	3	19
ENSG00000154310	TNIK	DataElement[ENSG00000154310] class=class ru.biosoft.bsa.project.ProjectAsLists	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	16	0	0	0	0	1	1	0	0	1	2	1	1	3	1	1	0	1	1	0	6	0	2	0	4	1	2	1	1	1	15	1	3	2	4	4	2	8
ENSG00000026025	VIM	DataElement[ENSG00000026025] class=class ru.biosoft.bsa.project.ProjectAsLists	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	1	0	0	0	0	1	0	0	2	3	1	2	0	1	1	0	1	1	0	4	4	3	0	0	3	2	4	1	3	11	1	5	5	1	0	4	14
ENSG00000058335	RASGRF1	DataElement[ENSG00000058335] class=class ru.biosoft.bsa.project.ProjectAsLists	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	1	2	0	1	1	0	2	1	1	3	3	0	18	1	8	1	1	2	3	12
ENSG00000086758	HUWE1	DataElement[ENSG00000086758] class=class ru.biosoft.bsa.project.ProjectAsLists	86	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	4	1	0	0	1	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	5	1	0	0	2	4	3	0	2	4	22	0	2	4	3	4	3	13
ENSG00000148180	GSN	DataElement[ENSG00000148180] class=class ru.biosoft.bsa.project.ProjectAsLists	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	1	0	2	1	0	0	2	2	2	1	0	0	1	0	3	1	5	0	2	5	4	3	2	5	5	3	7	7	2	2	5	9
ENSG00000149948	HMGA2	DataElement[ENSG00000149948] class=class ru.biosoft.bsa.project.ProjectAsLists	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	3	6	3	0	0	7	1	0	2	5	1	12	0	9	1	8	9	2	11
ENSG00000186318	BACE1	DataElement[ENSG00000186318] class=class ru.biosoft.bsa.project.ProjectAsLists	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	4	2	1	0	3	2	1	1	4	1	16	1	4	1	2	3	7	21
ENSG00000146648	EGFR	DataElement[ENSG00000146648] class=class ru.biosoft.bsa.project.ProjectAsLists	85	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	18	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	1	7	0	0	0	2	0	0	1	2	0	21	0	1	0	2	3	3	15
ENSG00000131788	PIAS3	DataElement[ENSG00000131788] class=class ru.biosoft.bsa.project.ProjectAsLists	84	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	1	2	0	1	0	0	0	0	5	2	1	0	4	1	1	4	5	1	8	1	5	2	4	4	5	18
ENSG00000135046	ANXA1	DataElement[ENSG00000135046] class=class ru.biosoft.bsa.project.ProjectAsLists	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	2	1	2	0	2	0	1	2	0	0	2	2	0	5	4	3	2	5	3	3	2	4	5	2	5	6	16
ENSG00000135823	STX6	DataElement[ENSG00000135823] class=class ru.biosoft.bsa.project.ProjectAsLists	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	21	0	0	0	1	0	0	0	0	2	0	0	2	0	2	1	0	0	0	0	2	1	2	0	2	3	2	2	3	3	7	0	3	4	3	2	4	7
ENSG00000171033	PKIA	DataElement[ENSG00000171033] class=class ru.biosoft.bsa.project.ProjectAsLists	82	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	1	0	4	1	0	2	0	1	1	0	0	1	7	0	0	2	4	1	0	2	3	1	10	0	10	1	4	5	3	11
ENSG00000088325	TPX2	DataElement[ENSG00000088325] class=class ru.biosoft.bsa.project.ProjectAsLists	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	0	0	2	1	0	0	0	0	0	2	1	2	0	2	0	0	1	0	3	0	3	0	2	0	2	3	2	1	9	3	6	5	1	4	5	15
ENSG00000110876	SELPLG	DataElement[ENSG00000110876] class=class ru.biosoft.bsa.project.ProjectAsLists	81	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	6	0	0	0	1	1	0	0	0	0	1	1	0	1	0	2	0	0	0	1	5	2	1	0	2	2	0	5	3	1	11	1	3	2	2	4	5	13
ENSG00000166851	PLK1	DataElement[ENSG00000166851] class=class ru.biosoft.bsa.project.ProjectAsLists	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	2	0	1	1	0	1	2	1	1	1	2	1	0	0	0	1	1	2	1	2	5	2	1	2	5	8	1	8	5	1	2	6	11
ENSG00000141510	TP53	DataElement[ENSG00000141510] class=class ru.biosoft.bsa.project.ProjectAsLists	80	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	1	1	1	0	0	1	2	1	0	0	2	2	0	0	0	2	4	1	3	0	3	2	2	2	4	3	5	2	2	4	1	3	6	12
ENSG00000147526	TACC1	DataElement[ENSG00000147526] class=class ru.biosoft.bsa.project.ProjectAsLists	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	1	0	4	0	0	6	5	3	0	6	8	3	6	9	0	2	5	15
ENSG00000075643	MOCOS	DataElement[ENSG00000075643] class=class ru.biosoft.bsa.project.ProjectAsLists	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	5	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	2	5	0	1	1	4	1	0	2	4	1	19	1	1	1	3	4	3	13
ENSG00000087586	AURKA	DataElement[ENSG00000087586] class=class ru.biosoft.bsa.project.ProjectAsLists	78	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	0	3	1	1	2	0	0	0	0	2	2	0	3	2	2	1	5	2	7	2	6	3	3	4	4	16
ENSG00000080986	NDC80	DataElement[ENSG00000080986] class=class ru.biosoft.bsa.project.ProjectAsLists	75	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	3	1	2	2	3	1	2	4	2	12	1	5	2	1	3	6	17
ENSG00000035115	SH3YL1	DataElement[ENSG00000035115] class=class ru.biosoft.bsa.project.ProjectAsLists	74	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	2	0	0	0	0	1	0	0	4	1	0	2	1	2	0	0	0	1	1	1	3	4	0	0	5	4	2	0	4	3	2	4	8	0	0	5	9
ENSG00000131747	TOP2A	DataElement[ENSG00000131747] class=class ru.biosoft.bsa.project.ProjectAsLists	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	1	4	3	4	1	4	6	3	3	6	2	2	4	15
ENSG00000140443	IGF1R	DataElement[ENSG00000140443] class=class ru.biosoft.bsa.project.ProjectAsLists	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	0	0	0	0	1	0	0	1	2	0	1	0	0	1	0	0	0	1	7	0	1	0	1	1	1	1	1	1	15	0	3	1	1	1	0	11
ENSG00000186868	MAPT	DataElement[ENSG00000186868] class=class ru.biosoft.bsa.project.ProjectAsLists	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	1	0	0	0	0	2	0	0	2	1	1	1	0	1	1	1	4	0	2	0	1	3	2	1	1	4	13	2	4	5	1	1	2	6
ENSG00000143207	RFWD2	DataElement[ENSG00000143207] class=class ru.biosoft.bsa.project.ProjectAsLists	68	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	2	0	1	2	0	0	1	1	2	1	1	5	2	2	1	4	2	4	1	4	2	4	5	6	10
