ID	Average Intensity	UniProt ID	Description	Gene_Symbol	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore	Gene symbol ID
ENSG00000112062	388.1837785177519	Q16539,Q16539-2	mitogen-activated protein kinase 14	MAPK14	1432	10.00172871	16.916278	808	11.537889	894	22.027355	1368	15.973361	979	1491.542769	9.74E-6	1.909542137	0.196865152	2.13E-6	4.740436516	10.93506026	34.378935	1596	41.777157	1835	40.657284	2435	31.274307	2204	10.16160359	9.97673021	10.38359303	10.23554168	10.70327976	10.85405259	10.83525762	10.59174235	NM_001315,NM_139012,NM_139013,NM_139014	5.517584973	0.169155809	5.517584973	MAPK14
ENSG00000117676	NaN		ribosomal protein S6 kinase A1	RPS6KA1	6195	7.836559659	5.32239	190	4.536252	262	5.093758	235	4.806126	218	355.203424	9.73E-7	2.108420204	0.206096574	1.77E-7	5.221641494	8.912368938	9.34429	323	15.704295	511	9.617859	437	14.252386	749	8.09060191	8.07687665	8.05948348	8.11790992	8.47998992	8.89423562	8.50250297	8.8148604	NM_001006665,NM_001330441,NM_002953	43.61080169	0.024668413	43.61080169	RPS6KA1
ENSG00000124216	NaN		snail family transcriptional repressor 1	SNAI1	6615	4.625486381	0.101029	2	1.784798	55	0.076636	2	1.758219	43	24.90475624	0.985209794	1.016105673	0.892388574	0.979392889	0.025830056	4.651098717	1.25347	24	0.929861	17	1.161448	29	1.257406	36	3.62565224	4.96624096	3.55789237	4.95589027	4.57236446	4.37059965	4.51695118	4.54677495	NM_005985	0.032377359	0.79105698	0.032377359	SNAI1
ENSG00000136875	200.52450948968112	O43172-2	pre-mRNA processing factor 4	PRPF4	9128	9.10990667	11.324116	370	14.208419	750	11.194735	472	14.878016	616	1034.12611	3.43E-5	2.74306998	0.326795986	8.4E-6	4.454740854	10.56579051	27.200026	851	57.195027	1699	27.110279	1117	57.800511	2774	9.25896159	9.54086647	9.24993601	9.57522227	9.89569949	10.55073206	9.89241052	10.56359256	NM_001244926,NM_001322266,NM_001322267,NM_004697,NR_136265,NR_136266	8.277718393	0.175879846	8.277718393	PRPF4
ENSG00000141736	23.687306720390275	P04626-4	erb-b2 receptor tyrosine kinase 2	ERBB2	2064	10.8106371	31.972386	1640	24.059685	1996	31.574034	2116	20.792519	1369	1306.251832	2.99E-16	-2.199752646	0.13369386	1.78E-17	-8.507057117	9.673171536	14.589651	736	13.020789	638	19.704092	973	13.902308	1064	10.68412439	10.55468777	10.68411982	10.43209314	9.96119873	9.87067082	9.96366265	9.89706347	NM_001005862,NM_001289936,NM_001289937,NM_001289938,NM_004448,NR_110535	9.403723425	0.120959062	-9.403723425	ERBB2
ENSG00000146648	258.9332697492885	P00533	epidermal growth factor receptor	EGFR	1956	11.10580812	36.877985	1808	32.687855	2643	25.990846	2336	31.449309	1976	3144.034545	4.21E-5	1.853089035	0.201943932	1.05E-5	4.406828136	11.99584573	78.692754	4401	55.988479	2663	66.705268	5502	57.969959	4293	11.28517709	11.31796053	11.2861289	11.27624889	12.0248955	11.59971321	11.97651499	11.60006279	NM_001346897,NM_001346898,NM_001346899,NM_001346900,NM_001346941,NM_005228,NM_201282,NM_201283,NM_201284	48.71223373	0.018271336	48.71223373	EGFR
ENSG00000150457	NaN		large tumor suppressor kinase 2	LATS2	26524	9.789659058	11.724591	725	9.956947	996	11.709685	935	10.829443	849	756.1050705	3.3E-6	-1.411275349	0.099951404	6.61E-7	-4.972411319	9.292628097	9.456733	567	8.706822	491	9.788992	772	8.601889	784	9.6820066	9.66324589	9.68157346	9.73285721	9.43927216	9.34416223	9.46646917	9.33644049	NM_014572	16.60649628	0.029929911	-16.60649628	LATS2
ENSG00000162889	70.90071932355602	P49137	mitogen-activated protein kinase-activated protein kinase 2	MAPKAPK2	9261	11.30827547	53.630948	1835	61.215101	3365	53.221789	2354	59.37944	2576	2181.029138	0.002687316	-1.389056377	0.144237785	0.001012719	-3.286969189	10.83460536	52.03694	1727	46.123141	1463	48.00701	2097	45.995077	2290	11.0966287	11.33148878	11.09156519	11.30652199	11.01113273	10.89588309	10.9425122	10.87189513	NM_004759,NM_032960	3.636154485	0.130266773	-3.636154485	MAPKAPK2
ENSG00000166851	12.212017799911926	P53350	polo like kinase 1	PLK1	5347	8.437956814	12.400752	315	8.814148	363	12.154073	399	9.054317	292	1142.390025	6.88E-10	5.588955969	0.381921707	8.02E-11	6.500229665	10.92033859	39.292393	967	104.018188	2407	34.239727	1109	99.929543	3738	9.07657298	8.93608346	9.06242006	8.95192879	9.95703175	10.84936189	9.83426435	10.81291355	NM_005030	34.01956559	0.072969238	34.01956559	PLK1
ENSG00000168036	NaN		catenin beta 1	CTNNB1	1499	12.8577624	127.514076	4958	168.688439	10492	125.134607	6327	160.271492	7974	5749.435765	1.27E-5	-1.821171473	0.184708001	2.84E-6	-4.682345983	11.99293703	92.292691	3490	92.699634	3321	99.840355	4837	93.536526	5407	12.49892803	12.86679471	12.48924827	12.83456686	12.17006454	12.15239972	12.21129594	12.16066965	NM_001098209,NM_001098210,NM_001330729,NM_001904	4.191331278	0.206336677	-4.191331278	CTNNB1
ENSG00000168610	167.9039331818393	P40763,P40763-2	signal transducer and activator of transcription 3	STAT3	6774	10.87651865	18.30597	1011	25.839646	2309	29.939754	2141	29.928032	2103	2037.481955	0.429944633	1.167308955	0.233579961	0.339323171	0.955503432	11.09998005	40.832419	2152	31.216423	1567	40.515674	2853	31.786049	2546	10.56428801	10.96178244	10.96925717	11.0879189	11.16121217	10.91066701	11.16668464	10.91759214	NM_003150,NM_139276,NM_213662	0.978190448	0.228443654	0.978190448	STAT3
ENSG00000170345	NaN		AP-1 transcription factor subunit,Fos proto-oncogene	FOS	2353	5.199475562	0.718001	18	1.552466	61	1.477372	46	0.864303	27	28.19163854	0.027085842	-1.903500332	0.376211157	0.013570325	-2.468440408	4.295597364	0.791564	19	0.748512	17	0.791666	25	0.525507	19	4.61371703	5.22203444	5.06974193	4.80326738	4.62183994	4.57400723	4.61901798	4.37055545	NM_005252	3.331162861	0.27134014	-3.331162861	FOS
ENSG00000170836	NaN		Mg2+/Mn2+ dependent 1D,protein phosphatase	PPM1D	8493	8.534672275	5.366688	286	4.898959	423	6.032969	415	5.189176	351	298.4974268	1.7E-7	-1.641658435	0.128715157	2.76E-8	-5.556097711	7.821135633	3.772615	195	4.157414	202	3.213318	219	4.169689	328	8.33007391	8.37532321	8.43199979	8.42097402	7.9815259	8.03178156	7.85666132	8.037379	NM_003620	15.2948475	0.046652093	-15.2948475	PPM1D
ENSG00000171720	36.892530054008304	O15379	histone deacetylase 3	HDAC3	8841	10.065977	42.939384	932	35.226173	1237	39.73547	1113	34.912369	961	1009.281341	0.218909035	-1.132226276	0.124854556	0.151296176	-1.434968143	9.886681286	35.438904	745	45.299553	896	33.711689	933	43.315582	1384	10.07136987	10.02308142	10.00478498	10.01184598	9.84842798	10.02732455	9.80683273	9.99109486	NM_003883	5.97119964	0.030026749	-5.97119964	HDAC3
ENSG00000173039	NaN		NF-kB subunit,RELA proto-oncogene	RELA	5970	10.57157376	39.347429	1091	42.751929	1981	40.846022	1510	41.470966	1504	1579.489746	0.53606185	1.075617822	0.137727734	0.445120074	0.763575801	10.67698684	55.783423	1551	47.516503	1195	51.159827	1867	54.165928	2252	10.47203188	10.68921492	10.52993798	10.65811428	10.73675295	10.53768567	10.65865677	10.67072988	NM_001145138,NM_001243984,NM_001243985,NM_021975	1.021001582	0.103244776	1.021001582	RELA
ENSG00000177606	44.46251991891073	P05412	AP-1 transcription factor subunit,Jun proto-oncogene	JUN	3725	10.69032867	11.546902	428	53.936218	3235	11.209817	537	54.47953	2560	1320.282687	0.281549501	-1.672221872	0.583165716	0.203385617	-1.271964827	9.948639769	18.508608	665	30.817896	1041	18.260536	863	28.997019	1583	9.51122478	10.95592017	9.4903158	10.96094915	9.81710333	10.21395766	9.80478766	10.16384211	NM_002228	0.881254278	0.841628709	-0.881254278	JUN
ENSG00000183765	0.3711320743404486	O96017	checkpoint kinase 2	CHEK2	11200	5.543428525	1.177212	27	1.893676	68	2.147347	62	1.174497	34	79.35867507	7.01E-5	2.392648923	0.293689229	1.82E-5	4.285512022	6.808378971	3.401071	73	4.580481	93	4.124953	117	6.138947	201	5.64385735	6.02294499	6.01744594	5.71999597	6.30397029	6.52340142	6.46349368	6.77854243	NM_001005735,NM_001257387,NM_001349956,NM_007194,NM_145862	6.396053941	0.197770447	6.396053941	CHEK2
