ID	Ensembl ID	Gene description	Gene_symbol_1	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value	Average Intensity	UniProt ID	Description	Gene_Symbol	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore	Gene symbol ID	Gene symbol ID_1	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target molecules in dataset	Mechanistic Network
MO000027350	ENSG00000116809	zinc finger and BTB domain containing 17	ZBTB17	V$MIZ1_01	13.020833333333334	7.984356197352587	1.6307931424265263	0.771	1.0741239085784452E-22	NaN		zinc finger and BTB domain containing 17	ZBTB17	7709	7.967092306	7.663528	238	5.566699	279	6.607929	265	5.210648	205	227.0133295	0.054733635	-1.22668483	0.136031941	0.030244154	-2.16687805	7.671009487	5.613012	169	6.229498	176	6.250545	246	5.622655	258	8.02114045	7.86987418	7.89722453	7.81287589	7.70546597	7.76036154	7.78558574	7.68416989	NM_001242884,NM_001287603,NM_001287604,NM_001324137,NM_001324138,NM_003443	3.368307382	0.087902553	-3.368307382	ZBTB17	ZBTB17		transcription regulator	Inhibited	-2.449	3.12E-7	CDC20,NDC80,NUF2,PLK1,TOP2A,TPX2	
MO000028099	ENSG00000111206	forkhead box M1	FOXM1	V$FOXM1_01,V$FOXM1_Q3	0.4375	0.2286401925391095	2.3923354935194414	0.92635	0.025563861322852516	NaN		forkhead box M1	FOXM1	2305	9.141946801	11.996479	473	10.191679	649	12.026209	611	9.854267	508	1242.472201	1.91E-5	3.398758511	0.384464045	4.41E-6	4.590826842	10.90689597	23.963731	910	66.409896	2386	22.081717	1105	64.848358	3769	9.52307189	9.50516907	9.52347905	9.50130126	10.02164228	10.93597817	9.95200219	10.91678859	NM_001243088,NM_001243089,NM_021953,NM_202002,NM_202003	151.1253732	0.011678708	151.1253732	FOXM1	FOXM1		transcription regulator			5.5E-4	ANXA1,CDC20,PLK1,VIM	
MO000032492	ENSG00000071564	transcription factor 3	TCF3	V$E12_Q6,V$E2A_03,V$E2A_04,V$E2A_Q2,V$E2A_Q6_01,V$E2A_Q6_02,V$E47_01,V$E47_02,V$FLI1TCF3_01,V$HAND1E47_01,V$HOXB2TCF3_01,V$MATH1_Q2,V$MYOD_Q6_01,V$TAL1BETAE47_01,V$TEAD4TCF3_01	3.1652777777777783	2.765744083433613	1.6642728990324906	0.87746	0.03682510184983683	NaN		transcription factor 3	TCF3	6929	10.74716727	28.96635	1405	30.620583	2277	28.128426	1622	27.529728	1548	1504.236058	0.078810701	-1.332692592	0.207654387	0.046004271	-1.995354118	10.33281353	20.462672	848	33.046416	1345	20.890215	1192	30.206003	2041	10.64874633	10.77559343	10.5523821	10.64619397	10.19490836	10.60056882	10.24625873	10.54881364	NM_001136139,NM_001351778,NM_001351779,NM_003200	4.522070291	0.091629213	-4.522070291	TCF3	TCF3		transcription regulator			3.62E-5	ATF3,CD55,CDC20,HMGB2,IL7R,NDC80,NUF2	
MO000044348	ENSG00000124216	snail homolog 1 (Drosophila)	SNAI1	V$SNA_01,V$SNA_02,V$SNA_04,V$SNA_05,V$SNA_Q4	3.5291666666666663	3.004813477737666	3.0387169882967937	0.84522	0.029312528291566775	NaN		snail family transcriptional repressor 1	SNAI1	6615	4.625486381	0.101029	2	1.784798	55	0.076636	2	1.758219	43	24.90475624	0.985209794	1.016105673	0.892388574	0.979392889	0.025830056	4.651098717	1.25347	24	0.929861	17	1.161448	29	1.257406	36	3.62565224	4.96624096	3.55789237	4.95589027	4.57236446	4.37059965	4.51695118	4.54677495	NM_005985	0.032377359	0.79105698	0.032377359	SNAI1	SNAI1		transcription regulator			6.58E-4	CD55,FN1,GSN,TGFB1	
MO000058322	ENSG00000177606	jun proto-oncogene	JUN	V$AP1_01,V$AP1_02,V$AP1_Q4_01,V$AP1_Q6_01,V$BATFJUN_01,V$FOSJUN_02,V$JUNBJUN_01,V$JUNFOSB_01,V$JUNFRA1_01,V$JUNFRA2_01,V$JUN_03,V$JUN_04,V$JUN_06,V$JUN_08,V$JUN_09	2.033333333333333	1.622141997593261	2.2814152486070585	0.8630866666666667	0.028857325743522493	44.46251991891073	P05412	AP-1 transcription factor subunit,Jun proto-oncogene	JUN	3725	10.69032867	11.546902	428	53.936218	3235	11.209817	537	54.47953	2560	1320.282687	0.281549501	-1.672221872	0.583165716	0.203385617	-1.271964827	9.948639769	18.508608	665	30.817896	1041	18.260536	863	28.997019	1583	9.51122478	10.95592017	9.4903158	10.96094915	9.81710333	10.21395766	9.80478766	10.16384211	NM_002228	0.881254278	0.841628709	-0.881254278	JUN	JUN		transcription regulator		-0.572	4.54E-7	ATF3,EGFR,FN1,ICAM1,IGF1R,IL7R,ITGB8,TGFB1,TP53,VIM	49 (23)
MO000058538	ENSG00000168036	88kDa,beta 1,catenin (cadherin-associated protein)	CTNNB1	V$BETACATENIN_Q3,V$BETACATENIN_Q3_01,V$BETACATENIN_Q6,V$BETACATENIN_Q6_01,V$TCF4_Q5_02	1.3791666666666667	1.0770156438026475	1.7762417085602569	0.9449799999999999	0.03527558101500054	NaN		catenin beta 1	CTNNB1	1499	12.8577624	127.514076	4958	168.688439	10492	125.134607	6327	160.271492	7974	5749.435765	1.27E-5	-1.821171473	0.184708001	2.84E-6	-4.682345983	11.99293703	92.292691	3490	92.699634	3321	99.840355	4837	93.536526	5407	12.49892803	12.86679471	12.48924827	12.83456686	12.17006454	12.15239972	12.21129594	12.16066965	NM_001098209,NM_001098210,NM_001330729,NM_001904	4.191331278	0.206336677	-4.191331278	CTNNB1	CTNNB1		transcription regulator		-0.034	3.07E-4	ANXA1,BGN,EGFR,FN1,PLK1,SERPINA1,TGFA,TNIK,TP53,VIM	38 (21)
MO000078237	ENSG00000168610	signal transducer and activator of transcription 3 (acute-phase response factor)	STAT3	V$STAT3STAT3_Q3	0.5833333333333334	0.3309265944645006	1.7627272727272727	0.8454	0.012014118316663344	167.9039331818393	P40763,P40763-2	signal transducer and activator of transcription 3	STAT3	6774	10.87651865	18.30597	1011	25.839646	2309	29.939754	2141	29.928032	2103	2037.481955	0.429944633	1.167308955	0.233579961	0.339323171	0.955503432	11.09998005	40.832419	2152	31.216423	1567	40.515674	2853	31.786049	2546	10.56428801	10.96178244	10.96925717	11.0879189	11.16121217	10.91066701	11.16668464	10.91759214	NM_003150,NM_139276,NM_213662	0.978190448	0.228443654	0.978190448	STAT3	STAT3		transcription regulator		-0.520	3.02E-4	FN1,ICAM1,IGF1R,IL4R,SERPINA1,TGFB1,TP53,VIM	41 (17)
MO000078241	ENSG00000168610	signal transducer and activator of transcription 3 (acute-phase response factor)	STAT3	V$STAT3STAT3_Q3	0.5833333333333334	0.3309265944645006	1.7627272727272727	0.8454	0.012014118316663344	167.9039331818393	P40763,P40763-2	signal transducer and activator of transcription 3	STAT3	6774	10.87651865	18.30597	1011	25.839646	2309	29.939754	2141	29.928032	2103	2037.481955	0.429944633	1.167308955	0.233579961	0.339323171	0.955503432	11.09998005	40.832419	2152	31.216423	1567	40.515674	2853	31.786049	2546	10.56428801	10.96178244	10.96925717	11.0879189	11.16121217	10.91066701	11.16668464	10.91759214	NM_003150,NM_139276,NM_213662	0.978190448	0.228443654	0.978190448	STAT3	STAT3		transcription regulator		-0.520	3.02E-4	FN1,ICAM1,IGF1R,IL4R,SERPINA1,TGFB1,TP53,VIM	41 (17)
MO000079319	ENSG00000173039	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	RELA	V$NFKAPPAB_01,V$P50RELAP65_Q5_01,V$RELA_03,V$RELA_08,V$RELBP52_01	6.845833333333334	5.689530685920578	1.7915413872580177	0.8514000000000002	0.007713334195959698	NaN		NF-kB subunit,RELA proto-oncogene	RELA	5970	10.57157376	39.347429	1091	42.751929	1981	40.846022	1510	41.470966	1504	1579.489746	0.53606185	1.075617822	0.137727734	0.445120074	0.763575801	10.67698684	55.783423	1551	47.516503	1195	51.159827	1867	54.165928	2252	10.47203188	10.68921492	10.52993798	10.65811428	10.73675295	10.53768567	10.65865677	10.67072988	NM_001145138,NM_001243984,NM_001243985,NM_021975	1.021001582	0.103244776	1.021001582	RELA	RELA		transcription regulator		1.159	4.1E-6	BACE1,FN1,ICAM1,IGF1R,IL7R,PLK1,SMAD4,TGFB1,TP53	33 (14)
MO000079350	ENSG00000173039	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	RELA	V$NFKAPPAB_01,V$P50RELAP65_Q5_01,V$RELA_03,V$RELA_08,V$RELBP52_01	6.845833333333334	5.689530685920578	1.7915413872580177	0.8514000000000002	0.007713334195959698	NaN		NF-kB subunit,RELA proto-oncogene	RELA	5970	10.57157376	39.347429	1091	42.751929	1981	40.846022	1510	41.470966	1504	1579.489746	0.53606185	1.075617822	0.137727734	0.445120074	0.763575801	10.67698684	55.783423	1551	47.516503	1195	51.159827	1867	54.165928	2252	10.47203188	10.68921492	10.52993798	10.65811428	10.73675295	10.53768567	10.65865677	10.67072988	NM_001145138,NM_001243984,NM_001243985,NM_021975	1.021001582	0.103244776	1.021001582	RELA	RELA		transcription regulator		1.159	4.1E-6	BACE1,FN1,ICAM1,IGF1R,IL7R,PLK1,SMAD4,TGFB1,TP53	33 (14)
MO000079681	ENSG00000170345	FBJ murine osteosarcoma viral oncogene homolog	FOS	V$AP1_01,V$AP1_02,V$AP1_Q4_01,V$AP1_Q6_01,V$CFOS_Q4,V$CFOS_Q6,V$FOSJUN_02,V$FOS_02,V$FOS_03,V$FOS_06,V$FOS_10,V$FOS_11,V$JUNBFOS_01,V$JUNDFOS_01	1.818452380952381	1.456936565239814	2.6121602212225876	0.8897785714285715	0.0335358884394474	NaN		AP-1 transcription factor subunit,Fos proto-oncogene	FOS	2353	5.199475562	0.718001	18	1.552466	61	1.477372	46	0.864303	27	28.19163854	0.027085842	-1.903500332	0.376211157	0.013570325	-2.468440408	4.295597364	0.791564	19	0.748512	17	0.791666	25	0.525507	19	4.61371703	5.22203444	5.06974193	4.80326738	4.62183994	4.57400723	4.61901798	4.37055545	NM_005252	3.331162861	0.27134014	-3.331162861	FOS	FOS		transcription regulator		-0.083	2.29E-5	ARID3A,ATF3,FN1,ICAM1,LTBP3,TBL1X,TGFB1,TP53,VIM	45 (14)
MO000080311	ENSG00000116809	zinc finger and BTB domain containing 17	ZBTB17	V$MIZ1_01	13.020833333333334	7.984356197352587	1.6307931424265263	0.771	1.0741239085784452E-22	NaN		zinc finger and BTB domain containing 17	ZBTB17	7709	7.967092306	7.663528	238	5.566699	279	6.607929	265	5.210648	205	227.0133295	0.054733635	-1.22668483	0.136031941	0.030244154	-2.16687805	7.671009487	5.613012	169	6.229498	176	6.250545	246	5.622655	258	8.02114045	7.86987418	7.89722453	7.81287589	7.70546597	7.76036154	7.78558574	7.68416989	NM_001242884,NM_001287603,NM_001287604,NM_001324137,NM_001324138,NM_003443	3.368307382	0.087902553	-3.368307382	ZBTB17	ZBTB17		transcription regulator	Inhibited	-2.449	3.12E-7	CDC20,NDC80,NUF2,PLK1,TOP2A,TPX2	
MO000088314	ENSG00000111206	forkhead box M1	FOXM1	V$FOXM1_01,V$FOXM1_Q3	0.4375	0.2286401925391095	2.3923354935194414	0.92635	0.025563861322852516	NaN		forkhead box M1	FOXM1	2305	9.141946801	11.996479	473	10.191679	649	12.026209	611	9.854267	508	1242.472201	1.91E-5	3.398758511	0.384464045	4.41E-6	4.590826842	10.90689597	23.963731	910	66.409896	2386	22.081717	1105	64.848358	3769	9.52307189	9.50516907	9.52347905	9.50130126	10.02164228	10.93597817	9.95200219	10.91678859	NM_001243088,NM_001243089,NM_021953,NM_202002,NM_202003	151.1253732	0.011678708	151.1253732	FOXM1	FOXM1		transcription regulator			5.5E-4	ANXA1,CDC20,PLK1,VIM	
MO000129437	ENSG00000173039	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	RELA	V$NFKAPPAB_01,V$P50RELAP65_Q5_01,V$RELA_03,V$RELA_08,V$RELBP52_01	6.845833333333334	5.689530685920578	1.7915413872580177	0.8514000000000002	0.007713334195959698	NaN		NF-kB subunit,RELA proto-oncogene	RELA	5970	10.57157376	39.347429	1091	42.751929	1981	40.846022	1510	41.470966	1504	1579.489746	0.53606185	1.075617822	0.137727734	0.445120074	0.763575801	10.67698684	55.783423	1551	47.516503	1195	51.159827	1867	54.165928	2252	10.47203188	10.68921492	10.52993798	10.65811428	10.73675295	10.53768567	10.65865677	10.67072988	NM_001145138,NM_001243984,NM_001243985,NM_021975	1.021001582	0.103244776	1.021001582	RELA	RELA		transcription regulator		1.159	4.1E-6	BACE1,FN1,ICAM1,IGF1R,IL7R,PLK1,SMAD4,TGFB1,TP53	33 (14)
MO000133252	ENSG00000124216	snail homolog 1 (Drosophila)	SNAI1	V$SNA_01,V$SNA_02,V$SNA_04,V$SNA_05,V$SNA_Q4	3.5291666666666663	3.004813477737666	3.0387169882967937	0.84522	0.029312528291566775	NaN		snail family transcriptional repressor 1	SNAI1	6615	4.625486381	0.101029	2	1.784798	55	0.076636	2	1.758219	43	24.90475624	0.985209794	1.016105673	0.892388574	0.979392889	0.025830056	4.651098717	1.25347	24	0.929861	17	1.161448	29	1.257406	36	3.62565224	4.96624096	3.55789237	4.95589027	4.57236446	4.37059965	4.51695118	4.54677495	NM_005985	0.032377359	0.79105698	0.032377359	SNAI1	SNAI1		transcription regulator			6.58E-4	CD55,FN1,GSN,TGFB1	
MO000165730	ENSG00000168610	signal transducer and activator of transcription 3 (acute-phase response factor)	STAT3	V$STAT3STAT3_Q3	0.5833333333333334	0.3309265944645006	1.7627272727272727	0.8454	0.012014118316663344	167.9039331818393	P40763,P40763-2	signal transducer and activator of transcription 3	STAT3	6774	10.87651865	18.30597	1011	25.839646	2309	29.939754	2141	29.928032	2103	2037.481955	0.429944633	1.167308955	0.233579961	0.339323171	0.955503432	11.09998005	40.832419	2152	31.216423	1567	40.515674	2853	31.786049	2546	10.56428801	10.96178244	10.96925717	11.0879189	11.16121217	10.91066701	11.16668464	10.91759214	NM_003150,NM_139276,NM_213662	0.978190448	0.228443654	0.978190448	STAT3	STAT3		transcription regulator		-0.520	3.02E-4	FN1,ICAM1,IGF1R,IL4R,SERPINA1,TGFB1,TP53,VIM	41 (17)
MO000257758	ENSG00000173039	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	RELA	V$NFKAPPAB_01,V$P50RELAP65_Q5_01,V$RELA_03,V$RELA_08,V$RELBP52_01	6.845833333333334	5.689530685920578	1.7915413872580177	0.8514000000000002	0.007713334195959698	NaN		NF-kB subunit,RELA proto-oncogene	RELA	5970	10.57157376	39.347429	1091	42.751929	1981	40.846022	1510	41.470966	1504	1579.489746	0.53606185	1.075617822	0.137727734	0.445120074	0.763575801	10.67698684	55.783423	1551	47.516503	1195	51.159827	1867	54.165928	2252	10.47203188	10.68921492	10.52993798	10.65811428	10.73675295	10.53768567	10.65865677	10.67072988	NM_001145138,NM_001243984,NM_001243985,NM_021975	1.021001582	0.103244776	1.021001582	RELA	RELA		transcription regulator		1.159	4.1E-6	BACE1,FN1,ICAM1,IGF1R,IL7R,PLK1,SMAD4,TGFB1,TP53	33 (14)
