ID	Gene description	Gene_symbol_1	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value	Average Intensity	UniProt ID	Description	Gene_Symbol	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore	Gene symbol ID
ENSG00000074219	TEA domain family member 2	TEAD2	V$TEAD2_01,V$TEAD2_02	0.3541666666666667	0.22864019253910953	5.909333333333333	0.95245	0.04931956930402384	NaN		TEA domain transcription factor 2	TEAD2	8463	8.901634292	17.919393	444	11.85641	475	17.095246	547	13.22535	415	407.8718438	0.004855141	-1.414630795	0.161637734	0.001961702	-3.095969986	8.398698096	9.894846	237	13.831971	312	11.821653	374	13.756141	501	8.89844776	8.66418292	8.85791557	8.75284335	8.3440465	8.58670278	8.48638653	8.58362902	NM_001256658,NM_001256659,NM_001256660,NM_001256661,NM_001256662,NM_003598	4.756607659	0.105734219	-4.756607659	TEAD2
ENSG00000075426	FOS-like antigen 2	FOSL2	V$AP1_Q4_01,V$AP1_Q6_01,V$FOSL2_02,V$FRA2_01,V$FRA2_03,V$FRA2_04,V$FRA2_Q4_01,V$JUNBFRA2_01,V$JUNDFRA2_01,V$JUNFRA2_01	1.5833333333333333	1.2057761732851986	2.088337946019845	0.8772399999999999	0.02323553396505764	24.716234136002186	P15408-3	AP-1 transcription factor subunit,FOS like 2	FOSL2	2355	9.679368392	10.774959	480	17.847515	1286	10.893356	626	16.267019	918	972.9740727	0.112702786	1.372783815	0.251753173	0.069418713	1.815684956	10.13700602	22.932516	989	22.80481	925	23.139803	1314	22.398848	1469	9.48925097	10.0220407	9.49712062	9.93737282	10.05439617	10.02020291	10.06176197	10.00757862	NM_005253	1.616922696	0.283029998	1.616922696	FOSL2
ENSG00000077150	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	NFKB2	V$NFKB2_01,V$NFKB2_02,V$NFKB2_04,V$NFKB2_05,V$RELBP52_01	2.5416666666666665	1.7376654632972326	1.8883425170535353	0.8333400000000001	0.01077047289945795	21.958348474858134	Q00653,Q00653-4	nuclear factor kappa B subunit 2	NFKB2	4791	8.224131212	6.676857	241	6.512444	378	6.431846	299	5.99543	273	589.9639603	1.59E-15	2.944210268	0.187650078	1.02E-16	8.302052017	9.7828362	25.362282	880	19.116637	625	26.134773	1200	17.621427	937	8.56454912	8.6474337	8.53467628	8.58275857	9.62682839	9.33996129	9.65911189	9.27607317	NM_001077494,NM_001261403,NM_001288724,NM_001322934,NM_001322935,NM_002502	32.67763697	0.04769944	32.67763697	NFKB2
ENSG00000080298	regulatory factor X, 3 (influences HLA class II expression)	RFX3	V$RFX3ETV7_01,V$RFX3_11,V$RFX3_13,V$RFX_Q6	1.8802083333333333	1.4485559566787003	1.8163659158699432	0.799225	0.011311105134776442	NaN		regulatory factor X3	RFX3	5991	6.559880941	1.058072	111	0.301047	51	1.189695	160	0.334156	45	74.2900033	0.130155567	-1.736210146	0.457588187	0.081959555	-1.739427722	5.761140649	0.439565	45	0.394353	38	0.622338	83	0.401324	62	6.63825134	5.76797337	6.7382168	5.84819045	5.89070937	5.79375118	6.13934058	5.79789104	NM_001282116,NM_001282117,NM_002919,NM_134428	1.563572892	0.510843016	-1.563572892	RFX3
ENSG00000081059	transcription factor 7 (T-cell specific, HMG-box)	TCF7	V$LEF1TCF1_Q4,V$TCF1_08,V$TCF1_09,V$TCF1_Q5_01,V$TCF7RELATED_Q4,V$TCF7_06,V$TCF7_08	0.45238095238095244	0.2802131682998109	2.016258802964691	0.9179285714285715	0.03426684938036256	NaN		HMG-box),transcription factor 7 (T-cell specific	TCF7	6932	5.772247727	1.440155	56	0.882057	54	1.643277	81	0.531249	26	45.70388504	0.406031856	-1.485440484	0.570204174	0.316728105	-1.001204182	5.199831425	0.31659	12	1.47349	51	0.34441	17	1.369268	77	5.73754283	5.45137797	5.83325195	5.11806567	4.73910455	5.65436641	4.76015265	5.60723318	NM_001134851,NM_001346425,NM_001346450,NM_003202,NM_201632,NM_201634,NM_213648,NR_033449	1.778397503	0.321871967	-1.778397503	TCF7
ENSG00000082641	nuclear factor (erythroid-derived 2)-like 1	NFE2L1	V$MAF_Q4,V$MAF_Q6_01,V$NFE2L1_Q5,V$TCF11MAFG_01	6.692708333333333	5.925090252707581	2.0263912379397535	0.83165	0.010719299066017526	NaN		erythroid 2 like 1,nuclear factor	NFE2L1	4779	12.1385533	82.585798	4474	57.294907	5016	65.619	4573	53.46623	3671	4608.105481	0.88329904	1.044010718	0.301763357	0.8368601	0.205911427	12.20069367	117.991106	6171	46.88912	2307	85.079797	5893	62.710401	4988	12.29282698	12.09761302	12.09064865	12.03596809	12.5469148	11.73010456	12.2576441	11.96702138	NM_001330261,NM_001330262,NM_003204	0.552495971	0.112472078	0.552495971	NFE2L1
ENSG00000083817	zinc finger protein 416	ZNF416	V$FLJ20557_02	0.5208333333333334	0.3128760529482551	1.6646634615384617	0.8514	0.027377697319942763	NaN		zinc finger protein 416	ZNF416	55659	6.943112417	3.509061	99	2.594769	118	4.144813	150	3.331716	119	108.016587	0.060461388	-1.320159831	0.188911963	0.033908293	-2.121160562	6.538882457	3.174057	87	2.548272	65	3.288615	118	2.893218	120	6.82855068	6.69914239	6.9593235	6.89666788	6.69536799	6.50002899	6.7177496	6.59728443	NM_017879	3.626143552	0.111476546	-3.626143552	ZNF416
ENSG00000085274	myoneurin	MYNN	V$MYNN_02	0.10416666666666667	0.012033694344163659	8.65625	0.9098	0.007860302918265732	NaN		myoneurin	MYNN	55892	8.720745942	5.086645	286	5.787581	527	5.311357	403	6.303766	466	377.045191	0.058388311	-1.269717211	0.161198607	0.032584978	-2.137160023	8.375880889	5.005074	282	5.228632	267	4.936964	371	5.471273	478	8.48021708	8.71054393	8.55341977	8.8123318	8.43612741	8.41431067	8.43468931	8.50054028	NM_001185118,NM_001185119,NM_018657,NR_033702,NR_033703	2.295729423	0.150220252	-2.295729423	MYNN
ENSG00000087510	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)	TFAP2C	V$AP2GAMMA_01,V$AP2GAMMA_Q4,V$AP2GAMMA_Q5_01,V$AP2_Q3,V$AP2_Q4,V$AP2_Q6,V$AP2_Q6_01,V$TFAP2CE2F8_01,V$TFAP2CETV7_01,V$TFAP2CHES7_02,V$TFAP2C_01,V$TFAP2C_02,V$TFAP2C_03,V$TFAP2C_04,V$TFAP2C_05,V$TFAP2C_06,V$TFAP2C_07	5.3933823529411775	4.479719685708218	2.6457158140717687	0.9069529411764705	0.008302546461839677	NaN		transcription factor AP-2 gamma	TFAP2C	7022	8.657527771	11.348134	363	8.404764	435	11.735031	485	7.807859	317	497.0784037	0.182940218	1.461746449	0.35449751	0.122350062	1.544984295	9.205422383	24.062672	745	9.544879	278	22.424265	914	10.217761	481	8.81816412	8.68816943	8.8471482	8.62669074	9.4157172	8.59270957	9.35053059	8.64852335	NM_003222	5.222859981	0.104903178	5.222859981	TFAP2C
ENSG00000087903	regulatory factor X, 2 (influences HLA class II expression)	RFX2	V$RFX2_10,V$RFX2_11,V$RFX_Q6	1.159722222222222	0.7480946650621741	1.7100401617041674	0.8281000000000001	0.01990571588402244	NaN		regulatory factor X2	RFX2	5990	7.227205276	1.940085	89	2.858365	213	2.265058	135	2.845414	166	130.5508065	0.096714458	-1.351667889	0.22951373	0.05820089	-1.894181748	6.797911388	2.049273	92	2.507595	105	2.129665	125	2.034743	138	6.86401338	7.29864122	6.99024881	7.2894133	6.85896485	6.9838295	6.88202504	6.82433558	NM_000635,NM_134433	1.968885452	0.218039037	-1.968885452	RFX2
ENSG00000090447	transcription factor AP-4 (activating enhancer binding protein 4)	TFAP4	V$AP4_01,V$AP4_Q6,V$AP4_Q6_01,V$AP4_Q6_02,V$TFAP4DLX3_01,V$TFAP4ETV1_01,V$TFAP4ETV4_01,V$TFAP4FLI1_01,V$TFAP4_02,V$TFAP4_04,V$TFAP4_06,V$TFAP4_08,V$TFAP4_10	1.4310897435897434	1.1700453577709895	2.7468180788633694	0.9091615384615385	0.028567280377494078	NaN		transcription factor AP-4	TFAP4	7023	7.185855308	5.060066	121	4.903752	190	4.969599	154	3.843346	117	265.7214606	9.51E-17	2.643618653	0.162252032	5.43E-18	8.644046323	8.591874068	16.936558	392	13.009401	283	14.817014	451	13.474662	474	7.52318843	7.60586481	7.51175698	7.42586155	8.47025622	8.20309121	8.34794157	8.23789744	NM_003223	19.09315807	0.073639927	19.09315807	TFAP4
ENSG00000100393	E1A binding protein p300	EP300	V$P300_01,V$P300_Q5	6.572916666666667	5.709987966305656	3.168169218585005	0.9278500000000001	0.006842065785441413	2.2722006353915436	Q09472	E1A binding protein p300	EP300	2033	9.925652376	9.239347	903	6.995699	1106	8.318507	1050	6.345061	787	1064.263546	0.343551119	1.188442026	0.2204883	0.25862962	1.129636035	10.1748771	13.335409	1262	8.516023	759	12.541686	1563	8.154462	1174	10.06814332	9.95246848	9.97963155	9.8688416	10.32748851	9.91167961	10.27208568	9.87768157	NM_001429	3.034555663	0.082128902	3.034555663	EP300
ENSG00000101190	transcription factor-like 5 (basic helix-loop-helix)	TCFL5	V$TCFL5_02,V$TCFL5_03	1.0729166666666667	0.5746089049338147	1.8880574712643678	0.95665	3.2251836607781833E-4	NaN		transcription factor like 5	TCFL5	10732	9.252323194	16.837223	499	14.858699	703	18.2757	695	14.158231	529	663.162928	0.030019315	1.174910931	0.095838159	0.015245207	2.426501026	9.484763583	21.178891	599	22.965825	609	20.60617	764	23.963131	1035	9.29204382	9.2948671	9.35592809	9.25774814	9.41254369	9.45051199	9.38486808	9.49640167	NM_001301726,NM_006602	5.692048517	0.040835982	5.692048517	TCFL5
ENSG00000101457	deoxynucleotidyltransferase, terminal, interacting protein 1	DNTTIP1	V$DNTTIP1_01	0.2708333333333333	0.1263537906137184	2.143452380952381	0.8991	0.027203813266664482	16.637974328099627	Q9H147	deoxynucleotidyltransferase terminal interacting protein 1	DNTTIP1	116092	8.89876021	28.652409	413	25.119061	585	25.981354	483	22.644733	414	532.5286375	0.005462148	1.231881541	0.098429599	0.002238353	3.056636764	9.199070441	37.213604	519	35.308907	463	38.015018	698	36.788223	780	8.99985948	9.00722901	8.91876746	8.9196229	9.15977126	9.08607275	9.17745472	9.12400072	NM_052951	6.15477453	0.048793052	6.15477453	DNTTIP1
ENSG00000102974	CCCTC-binding factor (zinc finger protein)	CTCF	V$CTCF_01,V$CTCF_02,V$CTCF_03,V$CTCF_05,V$CTCF_07,V$CTCF_08,V$CTCF_10,V$CTCF_17,V$CTCF_19,V$CTCF_20,V$CTCF_21	2.543560606060606	2.250300842358604	2.8239114573602686	0.8801000000000001	0.03527697923978631	118.4670269181401	P49711	CCCTC-binding factor	CTCF	10664	10.00428213	18.233559	802	19.018716	1313	17.055502	968	18.62614	1005	936.4034495	0.143443407	-1.214245256	0.166183191	0.091940781	-1.685247757	9.724109641	15.032746	640	19.91313	798	14.234756	798	20.436407	1323	9.89517641	10.02863921	9.83823698	10.00406856	9.67325313	9.88083339	9.62831481	9.90519426	NM_001191022,NM_006565	3.111927199	0.090031826	-3.111927199	CTCF
ENSG00000104856	v-rel reticuloendotheliosis viral oncogene homolog B	RELB	V$RELBP52_01	0.125	0.036101083032490974	3.4625	0.9279	0.03315215726692954	NaN		NF-kB subunit,RELB proto-oncogene	RELB	5971	6.749799292	3.390689	86	3.220065	133	3.878523	128	2.604025	84	222.716954	3.02E-5	3.136285718	0.367689802	7.29E-6	4.484913604	8.400085906	17.288923	425	6.454629	150	16.300928	528	7.648803	286	7.09872461	7.16671605	7.20118865	7.01116847	8.41465286	7.51502544	8.35986715	7.6544826	NM_006509	19.69203703	0.083804769	19.69203703	RELB
ENSG00000106459	nuclear respiratory factor 1	NRF1	V$MAF_Q4,V$NRF1_03,V$NRF1_07,V$NRF1_08,V$NRF1_Q5,V$NRF1_Q6_01	7.767361111111111	6.565383072603289	1.703038000338245	0.7766166666666666	0.009916837132413025	17.927061449338346	Q16656	nuclear respiratory factor 1	NRF1	4899	7.733299746	4.734233	191	3.708269	235	4.189246	218	3.903036	195	223.6670824	0.564708815	1.103122875	0.19846895	0.475580349	0.713428974	7.873703819	4.353666	168	6.675159	241	4.089368	207	6.379866	367	7.8259291	7.71775394	7.7252533	7.76080835	7.68901509	8.01280591	7.63521318	7.96472496	NM_001040110,NM_001293163,NM_001293164,NM_005011	2.843743896	0.049372967	2.843743896	NRF1
ENSG00000106571	GLI family zinc finger 3	GLI3	V$GLI3_05,V$GLI3_Q5_01,V$GLI_Q2,V$GLI_Q3	6.84375	5.746089049338147	2.0355147934675233	0.823675	0.02624912409050539	NaN		GLI family zinc finger 3	GLI3	2737	9.283639838	7.359253	674	3.409871	506	7.131896	844	3.542992	412	453.2348502	8.56351E-4	-2.200293775	0.313528833	2.84873E-4	-3.628681125	8.145837951	3.414575	303	2.096906	176	3.427862	401	2.159007	292	9.29280876	8.73566694	9.26541922	8.76443608	8.55834372	8.16184999	8.56172747	8.18115186	NM_000168	3.719710492	0.305884528	-3.719710492	GLI3
ENSG00000108813	distal-less homeobox 4	DLX4	V$DLX4_05	0.10416666666666667	0.024067388688327317	4.328125	0.9986	0.03143584732797493	NaN		distal-less homeobox 4	DLX4	1748	3.313319898	0.426997	10	0.161109	6	0.561692	17	0.206977	6	12.14062837	0.543164215	1.444885032	0.706983672	0.452644173	0.751014096	3.842048226	0.824839	18	0.183385	4	1.027633	30	0.206082	7	3.50222098	3.16041582	3.65065144	3.24643489	3.80866475	3.15098696	3.970407	3.15695696	NM_001934,NM_138281	2.334752629	0.226460106	2.334752629	DLX4
ENSG00000109320	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	NFKB1	V$NFKAPPAB50_01,V$NFKAPPAB_01,V$NFKB1_02,V$NFKB1_04,V$NFKB1_06,V$P50P50_Q3,V$P50RELAP65_Q5_01,V$P50_Q6,V$RELBP52_01	5.375	4.3688995855060835	1.662614210711658	0.8325777777777779	0.005138428276626725	37.44628244619395	P19838	nuclear factor kappa B subunit 1	NFKB1	4790	9.712270011	15.334996	687	13.608872	982	14.798721	858	13.825295	799	803.4300702	0.191675814	-1.092270485	0.083934672	0.12926288	-1.517015068	9.584980496	14.204498	627	16.397472	682	14.71634	856	15.517591	1042	9.67779626	9.69321036	9.64997235	9.72161431	9.56733765	9.66154718	9.59693087	9.61640339	NM_001165412,NM_001319226,NM_003998	4.254687266	0.029917479	-4.254687266	NFKB1
ENSG00000110851	PR domain containing 4	PRDM4	V$PRDM4_01,V$PRDM4_02,V$PRDM4_04	1.4652777777777777	1.1311672683513838	1.6809727109091206	0.7183666666666667	0.04018555128548005	NaN		PR/SET domain 4	PRDM4	11108	9.307788339	9.984094	467	10.089709	763	10.190216	615	11.355248	673	793.6343428	1.3E-5	1.503609414	0.125824074	2.92E-6	4.676607849	9.897105233	19.290628	873	18.729801	797	17.964451	1070	17.681597	1217	9.34021855	9.46279543	9.35621359	9.55756568	9.83436164	9.77852843	9.77063533	9.73158999	NM_012406	5.811310558	0.101408604	5.811310558	PRDM4
ENSG00000111206	forkhead box M1	FOXM1	V$FOXM1_01,V$FOXM1_Q3	0.4375	0.2286401925391095	2.3923354935194414	0.92635	0.025563861322852516	NaN		forkhead box M1	FOXM1	2305	9.141946801	11.996479	473	10.191679	649	12.026209	611	9.854267	508	1242.472201	1.91E-5	3.398758511	0.384464045	4.41E-6	4.590826842	10.90689597	23.963731	910	66.409896	2386	22.081717	1105	64.848358	3769	9.52307189	9.50516907	9.52347905	9.50130126	10.02164228	10.93597817	9.95200219	10.91678859	NM_001243088,NM_001243089,NM_021953,NM_202002,NM_202003	151.1253732	0.011678708	151.1253732	FOXM1
ENSG00000112033	peroxisome proliferator-activated receptor delta	PPARD	V$PPARDR1_Q2,V$PPARD_01,V$PPARD_03,V$PPARD_04	1.0416666666666667	0.6257521058965102	3.832067818732737	0.7794	0.010924314540653299	NaN		peroxisome proliferator activated receptor delta	PPARD	5467	9.923011476	15.548992	667	20.534342	1367	16.760262	884	18.017509	978	850.6260081	0.069518768	-1.329815059	0.200070788	0.039840326	-2.055400614	9.51267071	18.660163	740	14.408854	535	17.841678	921	13.155022	822	9.67671587	10.00237248	9.69921369	9.91942578	9.73106682	9.48720642	9.68276868	9.44968325	NM_001171818,NM_001171819,NM_001171820,NM_006238,NM_177435	2.541791515	0.161437617	-2.541791515	PPARD
ENSG00000112182	BTB and CNC homology 1, basic leucine zipper transcription factor 2	BACH2	V$BACH2_03,V$BACH2_04,V$BACH2_07,V$MAF_Q4,V$MAF_Q6_01	1.3041666666666667	0.8892900120336943	2.3991076668367803	0.85382	0.003423002756718964	NaN		BTB domain and CNC homolog 2	BACH2	60468	6.292378729	0.66199	69	0.383147	65	0.880423	118	0.439185	58	58.74424461	0.021898368	-1.998733139	0.391084211	0.01062926	-2.554656607	5.28947992	0.418419	42	0.162415	16	0.485889	65	0.274378	42	6.09350634	5.78377467	6.33217421	5.87806967	5.68414934	5.11839781	5.80155422	5.3796992	NM_001170794,NM_021813	4.108166984	0.244123185	-4.108166984	BACH2
ENSG00000112658	serum response factor (c-fos serum response element-binding transcription factor)	SRF	V$SRF_01,V$SRF_07,V$SRF_09,V$SRF_12	0.41145833333333337	0.24969915764139594	2.372737490031898	0.819375	0.042102914428995594	NaN		serum response factor	SRF	6722	10.23112853	11.516938	540	27.247375	2068	10.874066	659	26.96859	1604	1267.926449	0.777593258	1.109636694	0.399524856	0.707166155	0.375664739	10.38146734	22.103029	1004	33.095333	1414	21.067545	1260	30.249905	1843	9.73738871	10.5752777	9.69513441	10.56187937	10.20377114	10.52758435	10.16256408	10.33979374	NM_001292001,NM_003131	0.30530725	0.49241808	0.30530725	SRF
ENSG00000113658	SMAD family member 5	SMAD5	V$SMAD5_Q5	0.5208333333333334	0.24067388688327315	2.1640625000000004	0.9908	0.002560163333092097	59.52751748700976	Q99717	SMAD family member 5	SMAD5	4090	10.98105139	26.975302	2107	22.479828	2834	14.395272	1452	16.031565	1585	1680.505191	0.024990704	-1.508940757	0.237239309	0.012354773	-2.501845778	10.38773012	14.795248	1112	18.805182	1330	14.719548	1468	13.897125	1593	11.06402323	11.02513491	10.51685634	10.72220969	10.47454504	10.6473755	10.47602149	10.40135175	NM_001001419,NM_001001420,NM_005903	2.283664755	0.25981102	-2.283664755	SMAD5
