ID	Gene symbol	Gene description
ENSG00000067225	PKM2	Pyruvate kinase isozymes M1/M2 (EC 2.7.1.40)(Pyruvate kinase muscle isozyme)(Pyruvate kinase 2/3)(Cytosolic thyroid hormone-binding protein)(CTHBP)(THBP1) [Source:UniProtKB/Swiss-Prot;Acc:P14618]
ENSG00000067829	IDH3G	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial Precursor (EC 1.1.1.41)(Isocitric dehydrogenase)(NAD(+)-specific ICDH) [Source:UniProtKB/Swiss-Prot;Acc:P51553]
ENSG00000078668	VDAC3	Voltage-dependent anion-selective channel protein 3 (VDAC-3)(hVDAC3)(Outer mitochondrial membrane protein porin 3) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y277]
ENSG00000079277	MKNK1	MAP kinase-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1)(MAP kinase signal-integrating kinase 1)(Mnk1) [Source:UniProtKB/Swiss-Prot;Acc:Q9BUB5]
ENSG00000079432	CIC	Protein capicua homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q96RK0]
ENSG00000079459	FDFT1	Squalene synthetase (SQS)(SS)(EC 2.5.1.21)(Farnesyl-diphosphate farnesyltransferase)(FPP:FPP farnesyltransferase) [Source:UniProtKB/Swiss-Prot;Acc:P37268]
ENSG00000079616	KIF22	Kinesin-like protein KIF22 (Kinesin-like DNA-binding protein)(Kinesin-like protein 4) [Source:UniProtKB/Swiss-Prot;Acc:Q14807]
ENSG00000079805	DNM2	Dynamin-2 (EC 3.6.5.5) [Source:UniProtKB/Swiss-Prot;Acc:P50570]
ENSG00000081154	PCNP	PEST proteolytic signal-containing nuclear protein (PEST-containing nuclear protein)(PCNP) [Source:UniProtKB/Swiss-Prot;Acc:Q8WW12]
ENSG00000081665	ZNF93	Zinc finger protein 93 (Zinc finger protein 505)(Zinc finger protein HTF34) [Source:UniProtKB/Swiss-Prot;Acc:P35789]
ENSG00000084070	SMAP2	Stromal membrane-associated protein 2 (Stromal membrane-associated protein 1-like) [Source:UniProtKB/Swiss-Prot;Acc:Q8WU79]
ENSG00000085872	CHERP	Calcium homeostasis endoplasmic reticulum protein (SR-related CTD associated factor 6)(ERPROT 213-21) [Source:UniProtKB/Swiss-Prot;Acc:Q8IWX8]
ENSG00000086232	EIF2AK1	Eukaryotic translation initiation factor 2-alpha kinase 1 (EC 2.7.11.1)(Heme-regulated eukaryotic initiation factor eIF-2-alpha kinase)(Hemin-sensitive initiation factor 2-alpha kinase)(Heme-regulated inhibitor)(Heme-controlled repressor)(HCR) [Source:Un
ENSG00000086589	RBM22	Pre-mRNA-splicing factor RBM22 (RNA-binding motif protein 22)(Zinc finger CCCH domain-containing protein 16) [Source:UniProtKB/Swiss-Prot;Acc:Q9NW64]
ENSG00000086666	ZFAND6	AN1-type zinc finger protein 6 (Zinc finger A20 domain-containing protein 3)(Associated with PRK1 protein) [Source:UniProtKB/Swiss-Prot;Acc:Q6FIF0]
ENSG00000087086	FTL	Ferritin light chain (Ferritin L subunit) [Source:UniProtKB/Swiss-Prot;Acc:P02792]
ENSG00000090487	SPG21	Maspardin (Spastic paraplegia 21 autosomal recessive Mast syndrome protein)(Acid cluster protein 33) [Source:UniProtKB/Swiss-Prot;Acc:Q9NZD8]
ENSG00000090674	MCOLN1	Mucolipin-1 (Mucolipidin)(MG-2) [Source:UniProtKB/Swiss-Prot;Acc:Q9GZU1]
ENSG00000091164	TXNL1	Thioredoxin-like protein 1 (32 kDa thioredoxin-related protein) [Source:UniProtKB/Swiss-Prot;Acc:O43396]
ENSG00000095059	DHPS	Deoxyhypusine synthase (DHS)(EC 2.5.1.46) [Source:UniProtKB/Swiss-Prot;Acc:P49366]
ENSG00000099341	PSMD8	26S proteasome non-ATPase regulatory subunit 8 (26S proteasome regulatory subunit S14)(p31) [Source:UniProtKB/Swiss-Prot;Acc:P48556]
ENSG00000099817	POLR2E	DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1)(DNA-directed RNA polymerase II subunit E)(RPB5)(DNA-directed RNA polymerase II 23 kDa polypeptide)(XAP4) [Source:UniProtKB/Swiss-Prot;Acc:P19388]
ENSG00000100014	SPECC1L	Cytospin-A (SPECC1-like protein)(Renal carcinoma antigen NY-REN-22) [Source:UniProtKB/Swiss-Prot;Acc:Q69YQ0]
ENSG00000100030	MAPK1	Mitogen-activated protein kinase 1 (EC 2.7.11.24)(Extracellular signal-regulated kinase 2)(ERK-2)(Mitogen-activated protein kinase 2)(MAP kinase 2)(MAPK 2)(p42-MAPK)(ERT1) [Source:UniProtKB/Swiss-Prot;Acc:P28482]
ENSG00000100142	POLR2F	DNA-directed RNA polymerases I, II, and III subunit RPABC2 (RNA polymerases I, II, and III subunit ABC2)(DNA-directed RNA polymerase II subunit F)(DNA-directed RNA polymerases I, II, and III 14.4 kDa polypeptide)(RPABC14.4)(RPB14.4)(RPB6)(RPC15) [Source:
ENSG00000100316	RPL3	60S ribosomal protein L3 (HIV-1 TAR RNA-binding protein B)(TARBP-B) [Source:UniProtKB/Swiss-Prot;Acc:P39023]
ENSG00000100442	FKBP3	FK506-binding protein 3 (EC 5.2.1.8)(Peptidyl-prolyl cis-trans isomerase)(PPIase)(Rotamase)(25 kDa FKBP)(FKBP-25)(Rapamycin-selective 25 kDa immunophilin) [Source:UniProtKB/Swiss-Prot;Acc:Q00688]
ENSG00000100568	VTI1B	Vesicle transport through interaction with t-SNAREs homolog 1B (Vesicle transport v-SNARE protein Vti1-like 1)(Vti1-rp1) [Source:UniProtKB/Swiss-Prot;Acc:Q9UEU0]
ENSG00000100823	APEX1	DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18)(Apurinic-apyrimidinic endonuclease 1)(AP endonuclease 1)(APEX nuclease)(APEN)(Protein REF-1) [Source:UniProtKB/Swiss-Prot;Acc:P27695]
ENSG00000101138	CSTF1	Cleavage stimulation factor 50 kDa subunit (CSTF 50 kDa subunit)(CF-1 50 kDa subunit)(CstF-50) [Source:UniProtKB/Swiss-Prot;Acc:Q05048]
ENSG00000101367	MAPRE1	Microtubule-associated protein RP/EB family member 1 (APC-binding protein EB1)(End-binding protein 1)(EB1) [Source:UniProtKB/Swiss-Prot;Acc:Q15691]
ENSG00000102172	SMS	Spermine synthase (SPMSY)(EC 2.5.1.22)(Spermidine aminopropyltransferase) [Source:UniProtKB/Swiss-Prot;Acc:P52788]
ENSG00000103495	MAZ	Myc-associated zinc finger protein (MAZI)(Purine-binding transcription factor)(Pur-1)(ZF87)(ZIF87) [Source:UniProtKB/Swiss-Prot;Acc:P56270]
ENSG00000104613	INTS10	Integrator complex subunit 10 (Int10) [Source:UniProtKB/Swiss-Prot;Acc:Q9NVR2]
ENSG00000104738	MCM4	DNA replication licensing factor MCM4 (CDC21 homolog)(P1-CDC21) [Source:UniProtKB/Swiss-Prot;Acc:P33991]
ENSG00000104824	HNRNPL	Heterogeneous nuclear ribonucleoprotein L (hnRNP L) [Source:UniProtKB/Swiss-Prot;Acc:P14866]
ENSG00000105058	FAM32A	Protein FAM32A  [Source:UniProtKB/Swiss-Prot;Acc:Q9Y421]
ENSG00000105185	PDCD5	Programmed cell death protein 5 (TF-1 cell apoptosis-related protein 19)(Protein TFAR19) [Source:UniProtKB/Swiss-Prot;Acc:O14737]
ENSG00000105323	HNRNPUL1	Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Adenovirus early region 1B-associated protein 5)(E1B-55 kDa-associated protein 5)(E1B-AP5) [Source:UniProtKB/Swiss-Prot;Acc:Q9BUJ2]
ENSG00000105401	CDC37	Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit)(p50Cdc37) [Source:UniProtKB/Swiss-Prot;Acc:Q16543]
ENSG00000105402	NAPA	Alpha-soluble NSF attachment protein (SNAP-alpha)(N-ethylmaleimide-sensitive factor attachment protein alpha) [Source:UniProtKB/Swiss-Prot;Acc:P54920]
ENSG00000105618	PRPF31	U4/U6 small nuclear ribonucleoprotein Prp31 (Pre-mRNA-processing factor 31)(U4/U6 snRNP 61 kDa protein)(hPrp31)(Protein 61K)(Serologically defined breast cancer antigen NY-BR-99) [Source:UniProtKB/Swiss-Prot;Acc:Q8WWY3]
ENSG00000106028	SSBP1	Single-stranded DNA-binding protein, mitochondrial Precursor (Mt-SSB)(MtSSB)(PWP1-interacting protein 17) [Source:UniProtKB/Swiss-Prot;Acc:Q04837]
ENSG00000107581	EIF3S10	Eukaryotic translation initiation factor 3 subunit A (eIF3a)(Eukaryotic translation initiation factor 3 subunit 10)(eIF-3-theta)(eIF3 p167)(eIF3 p180)(eIF3 p185) [Source:UniProtKB/Swiss-Prot;Acc:Q14152]
ENSG00000108349	CASC3	Protein CASC3 (Cancer susceptibility candidate gene 3 protein)(Metastatic lymph node protein 51)(Protein MLN 51)(Protein barentsz)(Btz) [Source:UniProtKB/Swiss-Prot;Acc:O15234]
ENSG00000108518	PFN1	Profilin-1 (Profilin I) [Source:UniProtKB/Swiss-Prot;Acc:P07737]
ENSG00000108671	PSMD11	26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit S9)(26S proteasome regulatory subunit p44.5) [Source:UniProtKB/Swiss-Prot;Acc:O00231]
ENSG00000108953	YWHAE	14-3-3 protein epsilon (14-3-3E) [Source:UniProtKB/Swiss-Prot;Acc:P62258]
ENSG00000109220	CHIC2	Cysteine-rich hydrophobic domain 2 protein (BrX-like translocated in leukemia) [Source:UniProtKB/Swiss-Prot;Acc:Q9UKJ5]
ENSG00000110315	RNF141	RING finger protein 141 (Zinc finger protein 230) [Source:UniProtKB/Swiss-Prot;Acc:Q8WVD5]
ENSG00000110713	NUP98	Nuclear pore complex protein Nup98-Nup96 Precursor [Contains Nuclear pore complex protein Nup98(Nucleoporin Nup98)(98 kDa nucleoporin);Nuclear pore complex protein Nup96(Nucleoporin Nup96)(96 kDa nucleoporin)] [Source:UniProtKB/Swiss-Prot;Acc:P52948]
ENSG00000110721	CHKA	Choline kinase alpha (CK)(EC 2.7.1.32)(CHETK-alpha) [Source:UniProtKB/Swiss-Prot;Acc:P35790]
ENSG00000111229	ARPC3	Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit)(p21-ARC) [Source:UniProtKB/Swiss-Prot;Acc:O15145]
ENSG00000111237	VPS29	Vacuolar protein sorting-associated protein 29 (EC 3.1.3.3)(Vesicle protein sorting 29)(hVPS29)(PEP11) [Source:UniProtKB/Swiss-Prot;Acc:Q9UBQ0]
ENSG00000111276	CDKN1B	Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27)(p27Kip1) [Source:UniProtKB/Swiss-Prot;Acc:P46527]
ENSG00000111348	ARHGDIB	Rho GDP-dissociation inhibitor 2 (Rho GDI 2)(Rho-GDI beta)(Ly-GDI) [Source:UniProtKB/Swiss-Prot;Acc:P52566]
ENSG00000111640	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH)(EC 1.2.1.12) [Source:UniProtKB/Swiss-Prot;Acc:P04406]
ENSG00000111676	ATN1	Atrophin-1 (Dentatorubral-pallidoluysian atrophy protein) [Source:UniProtKB/Swiss-Prot;Acc:P54259]
ENSG00000111716	LDHB	L-lactate dehydrogenase B chain (LDH-B)(EC 1.1.1.27)(LDH heart subunit)(LDH-H)(Renal carcinoma antigen NY-REN-46) [Source:UniProtKB/Swiss-Prot;Acc:P07195]
ENSG00000111843	TMEM14C	Transmembrane protein 14C  [Source:UniProtKB/Swiss-Prot;Acc:Q9P0S9]
ENSG00000113269	RNF130	Goliath homolog Precursor (RING finger protein 130) [Source:UniProtKB/Swiss-Prot;Acc:Q86XS8]
ENSG00000113648	H2AFY	Core histone macro-H2A.1 (Histone macroH2A1)(mH2A1)(H2A.y)(H2A/y)(Medulloblastoma antigen MU-MB-50.205) [Source:UniProtKB/Swiss-Prot;Acc:O75367]
ENSG00000113845	C3orf1	Transmembrane protein C3orf1 (Protein M5-14) [Source:UniProtKB/Swiss-Prot;Acc:Q9NPL8]
ENSG00000114353	GNAI2	Guanine nucleotide-binding protein G(i), alpha-2 subunit (Adenylate cyclase-inhibiting G alpha protein) [Source:UniProtKB/Swiss-Prot;Acc:P04899]
ENSG00000114738	MAPKAPK3	MAP kinase-activated protein kinase 3 (MAPK-activated protein kinase 3)(MAPKAP kinase 3)(MAPKAPK-3)(EC 2.7.11.1)(Chromosome 3p kinase)(3pK) [Source:UniProtKB/Swiss-Prot;Acc:Q16644]
ENSG00000115145	STAM2	Signal transducing adapter molecule 2 (STAM-2)(Hrs-binding protein) [Source:UniProtKB/Swiss-Prot;Acc:O75886]
ENSG00000115268	RPS15	40S ribosomal protein S15 (RIG protein) [Source:UniProtKB/Swiss-Prot;Acc:P62841]
ENSG00000115307	AUP1	Ancient ubiquitous protein 1 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q9Y679]
ENSG00000115677	HDLBP	Vigilin (High density lipoprotein-binding protein)(HDL-binding protein) [Source:UniProtKB/Swiss-Prot;Acc:Q00341]
ENSG00000115806	GORASP2	Golgi reassembly-stacking protein 2 (GRS2)(Golgi reassembly-stacking protein of 55 kDa)(GRASP55)(p59)(Golgi phosphoprotein 6)(GOLPH6) [Source:UniProtKB/Swiss-Prot;Acc:Q9H8Y8]
ENSG00000115866	DARS	Aspartyl-tRNA synthetase, cytoplasmic (EC 6.1.1.12)(Aspartate--tRNA ligase)(AspRS)(Cell proliferation-inducing gene 40 protein) [Source:UniProtKB/Swiss-Prot;Acc:P14868]
ENSG00000116120	FARSLB	Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)(Phenylalanine--tRNA ligase beta chain)(PheRS) [Source:UniProtKB/Swiss-Prot;Acc:Q9NSD9]
ENSG00000116350	SFRS4	Splicing factor, arginine/serine-rich 4 (Pre-mRNA-splicing factor SRP75)(SRP001LB) [Source:UniProtKB/Swiss-Prot;Acc:Q08170]
ENSG00000116489	CAPZA1	F-actin-capping protein subunit alpha-1 (CapZ alpha-1) [Source:UniProtKB/Swiss-Prot;Acc:P52907]
ENSG00000116560	SFPQ	Splicing factor, proline- and glutamine-rich (Polypyrimidine tract-binding protein-associated-splicing factor)(PTB-associated-splicing factor)(PSF)(DNA-binding p52/p100 complex, 100 kDa subunit)(100 kDa DNA-pairing protein)(hPOMp100) [Source:UniProtKB/Sw
ENSG00000116750	UCHL5	Ubiquitin carboxyl-terminal hydrolase isozyme L5 (UCH-L5)(EC 3.4.19.12)(Ubiquitin thioesterase L5)(Ubiquitin C-terminal hydrolase UCH37) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y5K5]
ENSG00000117133	BXDC5	Ribosome production factor 1 (Ribosome biogenesis protein RPF1)(Brix domain-containing protein 5) [Source:UniProtKB/Swiss-Prot;Acc:Q9H9Y2]
ENSG00000117242	DDOST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit Precursor (Oligosaccharyl transferase 48 kDa subunit)(DDOST 48 kDa subunit)(EC 2.4.1.119) [Source:UniProtKB/Swiss-Prot;Acc:P39656]
ENSG00000117289	TXNIP	Thioredoxin-interacting protein (Vitamin D3 up-regulated protein 1)(Thioredoxin-binding protein 2) [Source:UniProtKB/Swiss-Prot;Acc:Q9H3M7]
ENSG00000118680	AP005329.2	Myosin regulatory light chain MRLC2 (Myosin regulatory light chain 2-B, smooth muscle isoform)(MLC-2A)(MLC-2)(SHUJUN-1) [Source:UniProtKB/Swiss-Prot;Acc:O14950]
ENSG00000119396	RAB14	Ras-related protein Rab-14  [Source:UniProtKB/Swiss-Prot;Acc:P61106]
ENSG00000119705	C14orf156	SRA stem-loop-interacting RNA-binding protein, mitochondrial Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q9GZT3]
ENSG00000119801	YPEL5	Protein yippee-like 5  [Source:UniProtKB/Swiss-Prot;Acc:P62699]
ENSG00000119844	AFTPH	Aftiphilin  [Source:UniProtKB/Swiss-Prot;Acc:Q6ULP2]
ENSG00000120533	ENY2	Enhancer of yellow 2 transcription factor homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q9NPA8]
ENSG00000120685	C13orf23	Uncharacterized protein KIAA2032  [Source:UniProtKB/Swiss-Prot;Acc:Q86XN7]
ENSG00000120690	ELF1	ETS-related transcription factor Elf-1 (E74-like factor 1) [Source:UniProtKB/Swiss-Prot;Acc:P32519]
ENSG00000120699	EXOSC8	Exosome complex exonuclease RRP43 (EC 3.1.13.-)(Ribosomal RNA-processing protein 43)(Exosome component 8)(p9)(Opa-interacting protein 2) [Source:UniProtKB/Swiss-Prot;Acc:Q96B26]
ENSG00000122026	RPL21	60S ribosomal protein L21  [Source:UniProtKB/Swiss-Prot;Acc:P46778]
ENSG00000122203	KIAA1191	UPF0498 protein KIAA1191  [Source:UniProtKB/Swiss-Prot;Acc:Q96A73]
ENSG00000122705	CLTA	Clathrin light chain A (Lca) [Source:UniProtKB/Swiss-Prot;Acc:P09496]
ENSG00000123240	OPTN	Optineurin (Optic neuropathy-inducing protein)(E3-14.7K-interacting protein)(FIP-2)(Huntingtin-interacting protein L)(Huntingtin yeast partner L)(NEMO-related protein)(Transcription factor IIIA-interacting protein)(TFIIIA-IntP) [Source:UniProtKB/Swiss-Pr
ENSG00000123545	C6orf66	Protein HRPAP20 (Hormone-regulated proliferation-associated protein of 20 kDa) [Source:UniProtKB/Swiss-Prot;Acc:Q9P032]
ENSG00000124380	SNRNP27	U4/U6.U5 tri-snRNP-associated protein 3 (U4/U6.U5 tri-snRNP-associated 27 kDa protein)(27K)(Nucleic acid-binding protein RY-1) [Source:UniProtKB/Swiss-Prot;Acc:Q8WVK2]
ENSG00000124702	KLHDC3	Kelch domain-containing protein 3 (Protein Peas)(Testis intracellular mediator protein) [Source:UniProtKB/Swiss-Prot;Acc:Q9BQ90]
ENSG00000125952	MAX	Protein max (Myc-associated factor X) [Source:UniProtKB/Swiss-Prot;Acc:P61244]
ENSG00000126067	PSMB2	Proteasome subunit beta type-2 (EC 3.4.25.1)(Proteasome component C7-I)(Macropain subunit C7-I)(Multicatalytic endopeptidase complex subunit C7-I) [Source:UniProtKB/Swiss-Prot;Acc:P49721]
ENSG00000126214	KLC1	Kinesin light chain 1 (KLC 1) [Source:UniProtKB/Swiss-Prot;Acc:Q07866]
ENSG00000127184	COX7	Cytochrome c oxidase subunit 7C, mitochondrial Precursor (Cytochrome c oxidase polypeptide VIIc) [Source:UniProtKB/Swiss-Prot;Acc:P15954]
ENSG00000127483	HP1BP3	Heterochromatin protein 1-binding protein 3 (Protein HP1-BP74) [Source:UniProtKB/Swiss-Prot;Acc:Q5SSJ5]
ENSG00000129103	SUMF2	Sulfatase-modifying factor 2 Precursor (C-alpha-formylglycine-generating enzyme 2) [Source:UniProtKB/Swiss-Prot;Acc:Q8NBJ7]
ENSG00000129625	REEP5	Receptor expression-enhancing protein 5 (Polyposis locus protein 1)(TB2 protein) [Source:UniProtKB/Swiss-Prot;Acc:Q00765]
ENSG00000129636	ITFG1	T-cell immunomodulatory protein Precursor (Protein TIP)(Integrin-alpha FG-GAP repeat-containing protein 1) [Source:UniProtKB/Swiss-Prot;Acc:Q8TB96]
ENSG00000129824	RPS4Y1	40S ribosomal protein S4, Y isoform 1  [Source:UniProtKB/Swiss-Prot;Acc:P22090]
ENSG00000130311	DDA1	DET1- and DDB1-associated protein 1 (Placenta cross-immune reaction antigen 1)(PCIA-1) [Source:UniProtKB/Swiss-Prot;Acc:Q9BW61]
ENSG00000130522	JUND	Transcription factor jun-D  [Source:UniProtKB/Swiss-Prot;Acc:P17535]
ENSG00000130706	ADRM1	Protein ADRM1 (Adhesion-regulating molecule 1)(110 kDa cell membrane glycoprotein)(Gp110)(Proteasome regulatory particle non-ATPase 13)(hRpn13) [Source:UniProtKB/Swiss-Prot;Acc:Q16186]
ENSG00000131018	SYNE1	Nesprin-1 (Nuclear envelope spectrin repeat protein 1)(Synaptic nuclear envelope protein 1)(Syne-1)(Myocyte nuclear envelope protein 1)(Myne-1)(Enaptin) [Source:UniProtKB/Swiss-Prot;Acc:Q8NF91]
ENSG00000132155	RAF1	RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1)(C-RAF)(cRaf)(Raf-1) [Source:UniProtKB/Swiss-Prot;Acc:P04049]
ENSG00000132341	RAN	GTP-binding nuclear protein Ran (GTPase Ran)(Ras-related nuclear protein)(Ras-like protein TC4)(Androgen receptor-associated protein 24) [Source:UniProtKB/Swiss-Prot;Acc:P62826]
ENSG00000132475	H3F3B	Histone H3.3  [Source:UniProtKB/Swiss-Prot;Acc:P84243]
ENSG00000132676	DAP3	28S ribosomal protein S29, mitochondrial (S29mt)(MRP-S29)(Death-associated protein 3)(DAP-3)(Ionizing radiation resistance conferring protein) [Source:UniProtKB/Swiss-Prot;Acc:P51398]
ENSG00000133243	BTBD2	BTB/POZ domain-containing protein 2  [Source:UniProtKB/Swiss-Prot;Acc:Q9BX70]
ENSG00000133265	AC116342.2	Hsp70-binding protein 1 (Heat shock protein-binding protein 1)(HspBP1)(Hsp70-interacting protein 1)(Hsp70-binding protein 2)(HspBP2)(Hsp70-interacting protein 2) [Source:UniProtKB/Swiss-Prot;Acc:Q9NZL4]
ENSG00000133935	C14orf1	Probable ergosterol biosynthetic protein 28  [Source:UniProtKB/Swiss-Prot;Acc:Q9UKR5]
ENSG00000133961	NUMB	Protein numb homolog (h-Numb)(Protein S171) [Source:UniProtKB/Swiss-Prot;Acc:P49757]
ENSG00000133983	COX16	COX16-like protein C14orf112, mitochondrial Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q9P0S2]
ENSG00000134248	HBXIP	Hepatitis B virus X-interacting protein (HBX-interacting protein)(HBV X-interacting protein) [Source:UniProtKB/Swiss-Prot;Acc:O43504]
ENSG00000134453	RBM17	Splicing factor 45 (45 kDa-splicing factor)(RNA-binding motif protein 17) [Source:UniProtKB/Swiss-Prot;Acc:Q96I25]
ENSG00000134717	BTF3L4	Transcription factor BTF3 homolog 4 (Basic transcription factor 3-like 4) [Source:UniProtKB/Swiss-Prot;Acc:Q96K17]
ENSG00000134884	ARGLU1	Arginine and glutamate-rich protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9NWB6]
ENSG00000135441	BLOC1S1	Biogenesis of lysosome-related organelles complex 1 subunit 1 (BLOC-1 subunit 1)(GCN5-like protein 1)(Protein RT14) [Source:UniProtKB/Swiss-Prot;Acc:P78537]
ENSG00000135766	EGLN1	Egl nine homolog 1 (EC 1.14.11.-)(Hypoxia-inducible factor prolyl hydroxylase 2)(HIF-prolyl hydroxylase 2)(HIF-PH2)(HPH-2)(Prolyl hydroxylase domain-containing protein 2)(PHD2)(SM-20) [Source:UniProtKB/Swiss-Prot;Acc:Q9GZT9]
ENSG00000135930	EIF4E2	Eukaryotic translation initiation factor 4E type 2 (eIF-4E type 2)(eIF4E type 2)(mRNA cap-binding protein type 3)(Eukaryotic translation initiation factor 4E-like 3)(Eukaryotic translation initiation factor 4E homologous protein)(mRNA cap-binding protein
ENSG00000135940	COX5B	Cytochrome c oxidase subunit 5B, mitochondrial Precursor (Cytochrome c oxidase polypeptide Vb) [Source:UniProtKB/Swiss-Prot;Acc:P10606]
ENSG00000136003	ISCU	Iron-sulfur cluster assembly enzyme ISCU, mitochondrial Precursor (NifU-like N-terminal domain-containing protein)(NifU-like protein) [Source:UniProtKB/Swiss-Prot;Acc:Q9H1K1]
ENSG00000136156	ITM2B	Integral membrane protein 2B (Transmembrane protein BRI) [Contains ABri/ADan amyloid peptide] [Source:UniProtKB/Swiss-Prot;Acc:Q9Y287]
ENSG00000136521	NDUFB5	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial Precursor (NADH-ubiquinone oxidoreductase SGDH subunit)(Complex I-SGDH)(CI-SGDH) [Source:UniProtKB/Swiss-Prot;Acc:O43674]
ENSG00000136709	WDR33	WD repeat-containing protein 33 (WD repeat-containing protein WDC146) [Source:UniProtKB/Swiss-Prot;Acc:Q9C0J8]
ENSG00000136942	RPL35	60S ribosomal protein L35  [Source:UniProtKB/Swiss-Prot;Acc:P42766]
ENSG00000137210	TMEM14B	Transmembrane protein 14B  [Source:UniProtKB/Swiss-Prot;Acc:Q9NUH8]
ENSG00000139613	SMARCC2	SWI/SNF complex subunit SMARCC2 (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 2)(SWI/SNF complex 170 kDa subunit)(BRG1-associated factor 170) [Source:UniProtKB/Swiss-Prot;Acc:Q8TAQ2]
