ID	Gene symbol ID	Transpath ID	Average Intensity	UniProt ID	Description	Gene_Symbol	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore
ENSG00000065559	MAP2K4	MO000021423,MO000030904,MO000041374	75.88203796148865	P45985	mitogen-activated protein kinase kinase 4	MAP2K4	6416	9.413019449	13.197108	570	9.454052	661	13.792525	770	12.445938	682	766.2460183	0.049881043	1.249182764	0.145353939	0.027223624	2.208296317	9.732641666	16.228235	679	17.234924	679	20.665936	1129	17.084879	1087	9.4875393	9.33299079	9.52568955	9.55409636	9.601479	9.62524534	9.80216632	9.61966527	NM_001281435,NM_003010	3.242515872	0.098572291	3.242515872
ENSG00000068024	HDAC4	MO000059566	NaN		histone deacetylase 4	HDAC4	9759	7.701645743	1.740722	175	1.363792	221	2.018396	261	1.337149	170	247.6507604	0.005335055	1.37730523	0.150705497	0.002179794	3.06457512	8.165548054	2.489158	242	2.76772	253	2.74529	351	2.332405	344	7.81563516	7.73111058	7.93344749	7.71359413	8.05045009	8.1121269	8.13294666	7.96853588	NM_006037	4.619449767	0.100423716	4.619449767
ENSG00000069956	MAPK6	MO000004681,MO000137417	19.093763527640075	Q16659	mitogen-activated protein kinase 6	MAPK6	5597	10.67097723	24.130247	1137	28.146984	2146	24.234156	1475	29.288574	1750	1520.912893	0.255014608	-1.155116017	0.155461259	0.180832293	-1.338196797	10.46297569	25.528685	1166	27.119402	1165	27.420212	1648	28.043581	1947	10.48095161	10.7359147	10.48537254	10.76720252	10.468852	10.49150714	10.52795693	10.52223839	NM_002748	1.337674868	0.15549484	-1.337674868
ENSG00000070770	CSNK2A2	MO000018901,MO000033264	119.2247462523495	P19784	casein kinase 2 alpha 2	CSNK2A2	1459	9.026810873	30.309038	561	13.445155	403	32.2901	771	13.144767	309	422.1330445	0.0408467	-1.61614116	0.301601578	0.021661479	-2.296251957	8.333880674	16.689135	299	14.383141	243	17.19009	406	14.543653	397	9.10756968	8.52722142	9.165528	8.50601323	8.52835566	8.38440551	8.55284732	8.39453019	NM_001896	1.931225485	0.358803363	-1.931225485
ENSG00000072401	UBE2D1	MO000020073	1421.7002999904118	P51668	ubiquitin conjugating enzyme E2 D1	UBE2D1	7321	8.828016288	13.5585	402	9.304893	446	14.438524	552	10.468719	393	518.4932413	0.018488055	1.282509877	0.136986903	0.008780891	2.620469025	9.186174539	18.25827	524	17.169367	462	18.610225	701	17.019408	742	8.9584959	8.76621567	9.01063211	8.8573951	9.15043187	9.0659763	9.16376126	9.06320131	NM_001204880,NM_003338	3.2989094	0.108568684	3.2989094
ENSG00000072786	STK10	MO000045420	83.2470069440279	O94804	serine/threonine kinase 10	STK10	6793	10.126884	9.941433	668	15.440222	1677	10.164005	881	14.961552	1274	1767.633502	6.15E-5	2.161192777	0.257569857	1.58E-5	4.316606687	11.23907808	36.556881	2377	29.553843	1808	36.052807	3086	27.567291	2726	10.11147061	10.57031181	10.12733584	10.5407893	11.14189424	10.9186483	11.12832492	10.85964398	NM_005990	4.410296634	0.252181241	4.410296634
ENSG00000076984	MAP2K7	MO000022227	1.814476068441582	O14733	mitogen-activated protein kinase kinase 7	MAP2K7	5609	9.017388483	12.002398	470	8.648077	549	13.081037	665	7.51437	373	562.5177413	0.40374483	1.17020191	0.225367997	0.314336019	1.006165387	9.245141757	15.575613	592	14.282188	509	16.036714	800	9.915446	573	9.13517556	8.9816762	9.21396519	8.86305288	9.29999049	9.19312932	9.32233906	8.89483733	NM_001297555,NM_001297556,NM_145185	1.452619282	0.156788001	1.452619282
ENSG00000078043	PIAS2	MO000060747,MO000082840,MO000082846	5.386041647715712	O75928-3	protein inhibitor of activated STAT 2	PIAS2	9063	8.700572252	3.034765	321	3.741816	508	2.864867	390	2.985155	432	383.215197	0.168617532	-1.187287986	0.155622493	0.11150184	-1.5914789	8.452826751	2.519616	261	4.134165	336	2.692262	365	3.207195	505	8.58828233	8.68986762	8.53795246	8.75589168	8.38709927	8.61681179	8.43424567	8.55831019	NM_001324046,NM_001324047,NM_001324048,NM_001324049,NM_001324051,NM_001324052,NM_001324053,NM_001324054,NM_001324055,NM_001324057,NM_001324058,NM_001324059,NM_001324060,NM_004671,NM_173206,NR_136684,NR_136685	2.521107125	0.098268534	-2.521107125
ENSG00000078140	UBE2K	MO000019949	497.85711437719505	P61086	ubiquitin conjugating enzyme E2 K	UBE2K	3093	10.87833108	17.795139	1031	30.194837	2843	20.273874	1520	29.80522	2201	2057.546825	0.438436601	1.185939827	0.262053402	0.347803895	0.938857534	11.12459187	30.965377	1739	39.911757	2118	31.453243	2341	36.668668	3118	10.58235622	11.14490637	10.68765569	11.13028064	10.97808114	11.17413074	10.99644973	11.09455129	NM_001111112,NM_001111113,NM_001312646,NM_001312647,NM_001312648,NM_005339	0.839343583	0.293396882	0.839343583
ENSG00000078747	ITCH	MO000038235,MO000082690	47.751302323098216	Q96J02-2	itchy E3 ubiquitin protein ligase	ITCH	83737	11.0109998	18.88966	1448	18.152567	2230	23.437219	2318	22.713059	2202	2084.837612	0.90489467	1.020550531	0.172598894	0.864983684	0.170033637	11.04029013	28.491168	2087	19.867139	1398	26.581604	2565	24.64752	2783	10.87520617	10.95220487	11.05697948	11.14679686	11.15255162	10.83690626	11.09216324	11.01315062	NM_001257137,NM_001257138,NM_001324197,NM_001324198,NM_031483	0.246346967	0.118898683	0.246346967
ENSG00000078902	TOLLIP	MO000039099	99.0874295475559	Q9H0E2	toll interacting protein	TOLLIP	54472	9.03664717	9.427499	385	9.443303	615	9.33874	488	11.615254	592	571.911236	0.397743495	1.177747051	0.231912149	0.308794464	1.01775487	9.272979896	16.967081	652	11.307687	412	16.631542	853	10.66161	636	8.97847271	9.08493352	8.96373723	9.25619663	9.39371265	9.02434221	9.38756469	8.98883834	NM_001318512,NM_001318514,NM_001318515,NM_001318516,NM_019009	1.752482021	0.134856006	1.752482021
ENSG00000079387	SENP1	MO000093578	NaN		SUMO1/sentrin specific peptidase 1	SENP1	29843	8.978856301	6.774676	389	6.623841	591	7.24491	536	6.744414	490	520.9514584	0.725373742	1.065590887	0.201120947	0.648595588	0.455714091	9.069723415	6.173561	344	10.024104	524	7.022144	514	10.704332	903	8.93376389	8.99948762	8.98825056	9.04334488	8.80267324	9.17603543	8.90340249	9.23415404	NM_001267594,NM_001267595,NR_051991,NR_051992	2.015890887	0.045075413	2.015890887
ENSG00000080823	MOK	MO000215353	NaN		MOK protein kinase	MOK	5891	7.564466484	8.849473	153	9.214722	240	8.390354	189	8.589833	172	169.2174328	0.247552797	-1.267633086	0.252056463	0.174659469	-1.357383247	7.220555149	5.010703	88	9.458906	155	5.838567	130	8.338456	262	7.46283512	7.55636637	7.426958	7.47722641	7.00178594	7.46385689	7.08453186	7.50423577	NM_001272011,NM_001330234,NM_014226,NR_073540,NR_073541,NR_073542,NR_073543	6.298300136	0.054603834	-6.298300136
ENSG00000082701	GSK3B	MO000016989	33.167216033505284	P49841	glycogen synthase kinase 3 beta	GSK3B	2932	10.86355976	19.790171	1565	15.843063	2025	20.308029	2072	17.089692	1712	1434.242713	1.07609E-4	-1.853596375	0.213021519	2.92E-5	-4.179517322	9.973402558	13.963064	1069	8.895763	644	13.956685	1406	8.899316	1036	10.7007353	10.62804171	10.72389264	10.6917195	10.33503625	9.95142719	10.33347286	9.9496478	NM_001146156,NM_002093	21.70723581	0.041007395	-21.70723581
ENSG00000083799	CYLD	MO000041170	NaN		CYLD lysine 63 deubiquitinase	CYLD	1540	9.40146186	6.294715	606	4.99733	777	5.813563	728	4.608929	567	563.9124047	4.29E-5	-1.499108355	0.132678402	1.07E-5	-4.402409549	8.818747844	4.729691	443	3.976631	352	4.374489	542	3.722604	529	9.35474623	9.27517988	9.29188316	9.2094446	9.0513774	8.8863578	8.98990073	8.83045668	NM_001042355,NM_001042412,NM_015247	9.758160589	0.059715559	-9.758160589
ENSG00000085276	MECOM	MO000033253	NaN		MDS1 and EVI1 complex locus	MECOM	2122	8.030063879	3.02403	193	2.962482	306	3.345747	277	3.761476	264	345.1481895	0.022858843	1.641179615	0.2816113	0.011148384	2.538013002	8.744516683	3.87354	239	8.080437	471	4.30192	351	8.996904	762	8.0844835	8.17994528	8.16782528	8.25428769	8.22252259	8.83047136	8.31102188	8.83483479	NM_001105077,NM_001105078,NM_001163999,NM_001164000,NM_001205194,NM_004991,NM_005241	10.27292443	0.069547168	10.27292443
ENSG00000085511	MAP3K4	MO000032664,MO000084676	NaN		mitogen-activated protein kinase kinase kinase 4	MAP3K4	4216	9.390163296	7.906643	498	8.627855	875	8.275643	645	8.277151	661	568.3108994	0.007409863	-1.440426995	0.178351506	0.003157063	-2.952016232	8.863022949	5.268783	321	7.579727	437	5.894004	474	7.969292	740	9.18761036	9.38340584	9.19082241	9.34690869	8.79551142	9.06722282	8.88518021	9.10875854	NM_001291958,NM_001301072,NM_005922,NM_006724,NR_120425	5.134074804	0.102674847	-5.134074804
ENSG00000087586	AURKA	MO000032481,MO000082438	48.20868280640476	O14965	aurora kinase A	AURKA	6790	8.440808981	9.7124	281	9.018834	415	11.121462	391	8.134315	298	1311.431926	1.72E-12	6.547791762	0.366844719	1.47E-13	7.390070783	11.15189074	39.282801	1040	111.62813	2747	43.575754	1501	114.714016	4429	9.06755978	9.10139478	9.11889841	9.039134	10.07625999	11.02582441	10.15813787	11.02671988	NM_001323303,NM_001323304,NM_001323305,NM_003600,NM_198433,NM_198434,NM_198435,NM_198436,NM_198437	76.34167454	0.035512474	76.34167454
ENSG00000088832	FKBP1A	MO000021148	14321.920159889218	P62942	FK506 binding protein 1A	FKBP1A	2280	12.53778046	231.082087	4135	268.330995	7713	238.2346	5434	286.30333	6439	6217.534861	0.506226634	1.091220223	0.154282555	0.414323247	0.816309317	12.66372566	320.421297	5598	315.76695	5070	334.644349	7612	344.855556	8996	12.41620797	12.65596545	12.43107242	12.70708104	12.63793029	12.57674028	12.66516776	12.65961569	NM_000801,NM_001199786,NM_054014	0.837031238	0.150466547	0.837031238
ENSG00000091436	MAP3K20	MO000036570,MO000036572,MO000036573	9.310650597944544	Q9NYL2,Q9NYL2-2				NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN	NaN	NaN
ENSG00000095015	MAP3K1	MO000009086	NaN		mitogen-activated protein kinase kinase kinase 1	MAP3K1	4214	7.795526563	2.320359	195	1.851877	251	2.248168	244	1.783137	190	372.0011644	2.47E-12	2.349789047	0.167942675	2.15E-13	7.338999726	9.027439811	5.884309	478	4.912644	375	6.752607	722	4.872352	602	8.12289827	8.05549424	8.09850452	8.02675085	8.84428136	8.65323259	8.96911616	8.65034542	NM_005921	28.63666724	0.043018737	28.63666724
ENSG00000096717	SIRT1	MO000023365	3.0902875554831306	Q96EB6	sirtuin 1	SIRT1	23411	9.173438387	12.40957	548	8.264079	610	12.951837	664	7.872992	456	585.3070943	0.847274709	1.028206613	0.152817719	0.792857573	0.262601721	9.212398501	12.453201	539	10.632591	433	12.921574	753	11.301005	761	9.29614651	9.10003356	9.2423019	9.05779351	9.24806155	9.08758221	9.29826084	9.15962424	NM_001142498,NM_001314049,NM_012238	0.343647345	0.11337237	0.343647345
ENSG00000097007	ABL1	MO000020628	NaN		ABL proto-oncogene 1,non-receptor tyrosine kinase	ABL1	25	10.89117442	27.502097	1749	16.130784	1712	26.902269	2165	22.520935	1807	1565.172387	7.3E-5	-1.541928333	0.146110327	1.9E-5	-4.275780665	10.26578734	17.368583	1104	16.094066	962	17.381446	1415	18.002204	1676	10.85909265	10.54758773	10.8229175	10.80052128	10.43212696	10.34419772	10.40961649	10.40620234	NM_005157,NM_007313	4.403315393	0.142026411	-4.403315393
ENSG00000100030	MAPK1	MO000004677,MO000034342	477.72726263684467	P28482	mitogen-activated protein kinase 1	MAPK1	5594	11.20275893	28.793001	1724	29.089085	2897	30.525512	2435	31.275429	2344	2162.016892	0.045203114	-1.198183659	0.115833503	0.024326629	-2.251931055	10.94177859	27.989872	1576	32.318184	1678	33.295033	2111	35.054017	2923	11.04388966	11.19875118	11.12124377	11.22272887	10.93552864	11.01103932	10.94906267	11.07718612	NM_002745,NM_138957	3.219960497	0.081050789	-3.219960497
ENSG00000100348	TXN2	MO000058368	50.27005934320085	Q99757	thioredoxin 2	TXN2	25828	9.69856545	49.115608	732	35.839775	864	52.115582	1003	36.464241	689	773.2498402	0.197287486	-1.160148285	0.14292263	0.133749897	-1.499477131	9.482968985	37.841095	547	45.50433	618	40.245014	765	49.942837	1096	9.70695538	9.5588157	9.75892556	9.56984307	9.42862473	9.55244377	9.47719047	9.63374692	NM_012473	2.161702606	0.099734563	-2.161702606
ENSG00000100393	EP300	MO000019985,MO000056654	2.2722006353915436	Q09472	E1A binding protein p300	EP300	2033	9.925652376	9.239347	903	6.995699	1106	8.318507	1050	6.345061	787	1064.263546	0.343551119	1.188442026	0.2204883	0.25862962	1.129636035	10.1748771	13.335409	1262	8.516023	759	12.541686	1563	8.154462	1174	10.06814332	9.95246848	9.97963155	9.8688416	10.32748851	9.91167961	10.27208568	9.87768157	NM_001429	3.034555663	0.082128902	3.034555663
ENSG00000100401	RANGAP1	MO000035098	910.3063846185297	P46060	Ran GTPase activating protein 1	RANGAP1	5905	10.07766611	16.415833	713	21.969391	1545	16.435022	922	20.987435	1156	1327.174875	0.050378141	1.455676181	0.245787159	0.027531624	2.203896501	10.61995662	28.496347	1200	45.161862	1787	25.68741	1423	31.27395	2034	10.00796684	10.35803741	10.00936194	10.31498735	10.39822525	10.76750665	10.3084065	10.46595164	NM_001278651,NM_001317930,NM_002883	2.852686788	0.19009816	2.852686788
ENSG00000100811	YY1	MO000025267	95.88127883954388	P25490	YY1 transcription factor	YY1	7528	10.36134141	31.329893	1104	27.0133	1540	30.038807	1367	26.960243	1205	1398.621516	0.030169032	1.125909571	0.070579605	0.015347015	2.424084957	10.53312761	38.423225	1312	39.701668	1275	35.401161	1591	38.306534	1988	10.40931144	10.40386999	10.37451289	10.39888994	10.52308529	10.5224167	10.45177393	10.49404308	NM_003403	11.18620686	0.015356966	11.18620686
ENSG00000100823	APEX1	MO000021414	1289.3340280530172	P27695	apurinic/apyrimidinic endodeoxyribonuclease 1	APEX1	328	11.17935631	157.735285	2716	61.030233	1702	151.787244	3383	56.381253	1238	2410.053221	0.829091772	1.078645144	0.373739484	0.770105801	0.292236506	11.28828657	86.762704	1446	115.240044	1810	139.911847	3071	183.475475	4652	11.47947679	10.79565082	11.44765382	10.73429696	10.90470505	11.11366631	11.30786375	11.52418901	NM_001244249,NM_001641,NM_080648,NM_080649	0.269417475	0.404317723	0.269417475
ENSG00000100906	NFKBIA	MO000019315	NaN		NFKB inhibitor alpha	NFKBIA	4792	9.773041029	50.45565	882	28.170355	797	51.55426	1164	26.997648	599	1186.50106	0.00514843	1.712328323	0.25222045	0.002094376	3.076512436	10.54888129	88.776962	1503	67.520363	1075	90.509766	2017	61.818844	1592	10.09398643	9.73743005	10.11294115	9.70220348	10.52698189	10.2534076	10.54377633	10.18045918	NM_020529	3.493203544	0.22209993	3.493203544
ENSG00000101224	CDC25B	MO000023447,MO000030908	NaN		cell division cycle 25B	CDC25B	994	10.31657766	30.026343	1159	16.47173	990	42.317828	2110	16.557496	794	1885.092997	0.004180863	1.956346019	0.307782631	0.001657456	3.145601679	11.2847803	71.511066	2434	53.349737	1870	72.846183	3246	54.785678	2766	10.58709179	10.19875855	10.87862956	10.21289957	11.19937527	10.9863583	11.21053185	10.91080473	NM_001287516,NM_001287517,NM_001287518,NM_001287519,NM_001287520,NM_001287522,NM_001287524,NM_004358,NM_021872,NM_021873,NR_136335,NR_136336	2.962839492	0.326782008	2.962839492
ENSG00000101266	CSNK2A1	MO000018901,MO000018902,MO000033264	NaN		casein kinase 2 alpha 1	CSNK2A1	1457	11.39476717	73.930999	2233	61.155323	3037	78.138937	3050	61.59422	2371	2654.563762	0.656923338	-1.028718974	0.07270902	0.574242983	-0.561813662	11.35345526	73.303263	2156	77.608139	2165	77.371298	3031	80.945984	3638	11.38865827	11.36149185	11.4376387	11.35452178	11.32495622	11.35214219	11.38016412	11.38795236	NM_001895,NM_177559,NM_177560	1.095733912	0.037702502	-1.095733912
ENSG00000101665	SMAD7	MO000020634,MO000056713,MO000056718	NaN		SMAD family member 7	SMAD7	4092	9.312792681	10.615619	356	17.921427	903	11.924876	514	19.918415	780	363.4744809	2.5E-13	-7.004059301	0.366968152	1.97E-14	-7.652411484	6.507616387	3.448522	115	1.668543	53	3.101937	127	1.809516	74	8.44718612	9.00740704	8.55084788	9.09809563	7.48547055	7.00383856	7.35851101	6.91461389	NM_001190821,NM_001190822,NM_001190823,NM_005904	8.641793122	0.324605814	-8.641793122
ENSG00000101966	XIAP	MO000019070	9.310844517234326	P98170	X-linked inhibitor of apoptosis	XIAP	331	9.993603214	8.341482	786	7.776183	1183	9.015933	1098	8.251318	986	1005.991474	0.885512598	-1.026655115	0.188095935	0.840098611	-0.201767345	9.954942517	7.290832	666	9.026443	775	13.474209	1504	9.65046	1271	9.92130855	9.98028419	9.98858031	10.02928562	9.75297909	9.89960228	10.20839042	9.9142735	NM_001167,NM_001204401,NR_037916	0.868294751	0.044524854	-0.868294751
ENSG00000102081	FMR1	MO000166164	60.151984676820774	Q06787-5,Q06787-6,Q06787-8	fragile X mental retardation 1	FMR1	2332	9.592324423	14.766084	723	9.933271	785	13.925499	881	10.452781	650	866.8648312	0.016452159	1.246935102	0.119436799	0.007682113	2.665731026	9.909594049	17.047098	811	18.284118	813	18.386753	1118	17.966978	1276	9.7627142	9.5487207	9.71412127	9.59019302	9.82721574	9.8534095	9.86640037	9.83065795	NM_001185075,NM_001185076,NM_001185081,NM_001185082,NM_002024,NR_033699,NR_033700	3.142033506	0.100975889	3.142033506
ENSG00000102882	MAPK3	MO000004672,MO000112169	115.8390833947533	P27361	mitogen-activated protein kinase 3	MAPK3	5595	9.259086381	25.769675	520	21.194823	689	26.831462	693	21.072424	529	532.2653464	0.001329758	-1.356708327	0.125724173	4.64204E-4	-3.500604407	8.819571557	23.659453	444	18.431934	332	21.343607	537	19.304463	567	9.19183927	9.14190096	9.22009955	9.12044795	9.02287524	8.80751917	8.95134146	8.85374311	NM_001040056,NM_001109891,NM_002746	9.64959383	0.045547495	-9.64959383
ENSG00000103275	UBE2I	MO000019975,MO000079234,MO000324017	1292.2845609219717	P63279	ubiquitin conjugating enzyme E2 I	UBE2I	7329	10.91445655	45.296538	1448	46.741927	2417	46.539314	1924	46.949238	1904	2152.916495	0.035582113	1.23086126	0.127230303	0.018506731	2.3553206	11.21415969	58.219043	1839	73.312027	2137	60.918785	2483	74.485765	3533	10.89490648	11.03916505	10.9187955	11.0398641	11.06162004	11.21545846	11.08250782	11.23783185	NM_003345,NM_194259,NM_194260,NM_194261	3.881547033	0.077212291	3.881547033
ENSG00000104312	RIPK2	MO000020436	NaN		receptor interacting serine/threonine kinase 2	RIPK2	8767	8.320539875	9.205302	266	7.665164	358	10.327129	385	7.190669	263	349.8380928	0.191923591	1.187509359	0.163529827	0.129476579	1.51616918	8.569794689	13.091911	366	10.758673	283	13.417411	494	10.153876	432	8.37604696	8.34139452	8.47142658	8.28604108	8.6111949	8.41744888	8.63200621	8.37259883	NM_003821	3.201472546	0.077856302	3.201472546
ENSG00000104365	IKBKB	MO000019310,MO000022097	12.373726233721133	O14920	inhibitor of nuclear factor kappa B kinase subunit beta	IKBKB	3551	9.262074848	12.760417	590	7.973032	604	13.345663	803	7.394731	429	491.1657624	0.002364334	-1.667887974	0.221814652	8.77224E-4	-3.327203071	8.524894404	8.6766	379	6.749625	280	7.848673	450	5.915718	406	9.23675073	8.96562293	9.28267431	8.87894548	8.82618037	8.60941396	8.74154135	8.53120658	NM_001190720,NM_001242778,NM_001556,NR_033818,NR_033819,NR_040009	3.706517666	0.198887611	-3.706517666
