ID	Gene symbol ID	MDA_MB-231_MCF10A.fc	MDA_MB-231_MCF10A.baseMean	MDA_MB-231_MCF10A.lfcSE	MDA_MB-231_MCF10A.stat	MDA_MB-231_MCF10A.raw.pval	MDA_MB-231_MCF10A.bh.pval
ENSG00000140464	PML	-1.121605977	1116.275135	0.246086963	-0.67279445	0.501078069	0.589152983
ENSG00000141510	TP53	1.816125988	1237.740669	0.249350005	3.452433417	5.56E-04	0.001564238
ENSG00000145386	CCNA2	4.794277318	1566.370482	0.456089055	4.958052248	7.12E-07	3.54E-06
ENSG00000146648	EGFR	1.853089035	3144.034545	0.201943932	4.406828136	1.05E-05	4.21E-05
ENSG00000149948	HMGA2	-5.020612806	2574.915052	0.191874032	-12.13224869	7.13E-34	3.10E-32
ENSG00000152465	NMT2	2.451917673	685.1312095	0.084150617	15.37612663	2.37E-53	2.15E-51
ENSG00000154229	PRKCA	-1.455385468	2631.900524	0.163882607	-3.303592257	9.55E-04	0.002547173
ENSG00000160691	SHC1	-3.504329064	8898.554816	0.247865388	-7.298874059	2.90E-13	3.31E-12
ENSG00000161057	PSMC2	1.47047102	1610.058674	0.294887887	1.886406245	0.059240232	0.098190644
ENSG00000161638	ITGA5	-1.00330374	10007.64013	0.368256041	-0.012921536	0.989690393	0.992502013
ENSG00000163235	TGFA	24.4348958	576.4193393	0.219617304	20.99502622	7.28E-98	3.21E-95
ENSG00000164104	HMGB2	2.357801207	1378.505292	0.327775868	3.775269041	1.60E-04	5.12E-04
ENSG00000164109	MAD2L1	4.467610281	540.9949192	0.463345083	4.660680387	3.15E-06	1.39E-05
ENSG00000164162	ANAPC10	1.224338198	195.6461338	0.221131585	1.320490363	0.186671351	0.261963261
ENSG00000164611	PTTG1	3.501216526	740.5537986	0.394146028	4.586767742	4.50E-06	1.94E-05
ENSG00000168610	STAT3	1.167308955	2037.481955	0.233579961	0.955503432	0.339323171	0.429944633
ENSG00000169679	BUB1	6.508973858	1246.262347	0.384016059	7.037284127	1.96E-12	2.04E-11
ENSG00000170027	YWHAG	1.153388603	4004.293133	0.190418849	1.081188513	0.279613267	0.366149646
ENSG00000170312	CDK1	4.031247452	959.784978	0.392913032	5.118757021	3.08E-07	1.62E-06
ENSG00000170836	PPM1D	-1.641658435	298.4974268	0.128715157	-5.556097711	2.76E-08	1.70E-07
ENSG00000171150	SOCS5	-1.959727125	645.7322537	0.126688702	-7.66171544	1.83E-14	2.34E-13
ENSG00000175216	CKAP5	2.158403683	4097.978536	0.221396638	5.013466895	5.35E-07	2.71E-06
ENSG00000175387	SMAD2	-1.218804894	1189.520629	0.091005257	-3.136820954	0.001707904	0.004296681
ENSG00000177479	ARIH2	1.341687863	1199.420946	0.080562292	5.263617301	1.41E-07	7.85E-07
ENSG00000177885	GRB2	1.12488381	1334.630827	0.261839996	0.648395948	0.51672889	0.605021365
ENSG00000179295	PTPN11	2.04117284	3542.518728	0.246981717	4.167913171	3.07E-05	1.12E-04
ENSG00000196504	PRPF40A	1.158469146	2915.5465	0.205581549	1.032289238	0.301936641	0.390579751
ENSG00000197386	HTT	-1.004238385	714.3871278	0.12839125	-0.047524854	0.962094922	0.973281157
ENSG00000197467	COL13A1	70.98401869	304.7667741	0.43122295	14.26042456	3.86E-46	2.66E-44
ENSG00000213341	CHUK	1.756902959	546.6034781	0.249077193	3.264186885	0.001097787	0.002890793
ENSG00000253729	PRKDC	1.386208256	3450.818803	0.28716715	1.640661251	0.100867753	0.154925545
