ID	Gene symbol ID	Transpath ID
ENSG00000100823	APEX1	MO000021414
ENSG00000100906	NFKBIA	MO000019315
ENSG00000101224	CDC25B	MO000023447,MO000030908
ENSG00000101266	CSNK2A1	MO000018901,MO000018902,MO000033264
ENSG00000101665	SMAD7	MO000020634,MO000056713,MO000056718
ENSG00000101966	XIAP	MO000019070
ENSG00000102081	FMR1	MO000166164
ENSG00000102882	MAPK3	MO000004672,MO000112169
ENSG00000103275	UBE2I	MO000019975,MO000079234,MO000324017
ENSG00000104312	RIPK2	MO000020436
ENSG00000104365	IKBKB	MO000019310,MO000022097
ENSG00000105221	AKT2	MO000293358
ENSG00000105229	PIAS4	MO000084645
ENSG00000105329	TGFB1	MO000020325,MO000021287
ENSG00000105401	CDC37	MO000084635
ENSG00000106799	TGFBR1	MO000017447,MO000020325,MO000083732
ENSG00000107643	MAPK8	MO000007821,MO000022229,MO000030998,MO000033485,MO000035654
ENSG00000107779	BMPR1A	MO000019069
ENSG00000108387	SEPT4	MO000042920
ENSG00000108389	MTMR4	MO000215625,MO000215626
ENSG00000108443	RPS6KB1	MO000089506
ENSG00000108861	DUSP3	MO000033404
ENSG00000108984	MAP2K6	MO000009415,MO000019341,MO000019344,MO000022211
ENSG00000109339	MAPK10	MO000033978,MO000153681
ENSG00000109670	FBXW7	MO000041500,MO000044588,MO000180297,MO000180299
ENSG00000111206	FOXM1	MO000026496,MO000028099,MO000088314,MO000332718,MO000338489
ENSG00000111266	DUSP16	MO000036550,MO000103285
ENSG00000112062	MAPK14	MO000009339,MO000022208,MO000059863
ENSG00000112679	DUSP22	MO000176197,MO000176198
ENSG00000114166	KAT2B	MO000056491
ENSG00000114316	USP4	MO000193609
ENSG00000115594	IL1R1	MO000039099
ENSG00000116030	SUMO1	MO000019973,MO000020010
ENSG00000116478	HDAC1	MO000023575
ENSG00000116584	ARHGEF2	MO000085589
ENSG00000116701	NCF2	MO000161481
ENSG00000117676	RPS6KA1	MO000032335,MO000036655
ENSG00000118046	STK11	MO000117253
ENSG00000118689	FOXO3	MO000020701
ENSG00000120129	DUSP1	MO000083769
ENSG00000120868	APAF1	MO000019792
ENSG00000120875	DUSP4	MO000032652
ENSG00000121022	COPS5	MO000022093,MO000031213,MO000071150
ENSG00000123374	CDK2	MO000021736,MO000021740
ENSG00000125538	IL1B	MO000039099
ENSG00000126261	UBA2	MO000020004,MO000020010,MO000085632,MO000085634
ENSG00000127191	TRAF2	MO000020146
ENSG00000127564	PKMYT1	MO000022408
ENSG00000130669	PAK4	MO000085607
ENSG00000130758	MAP3K10	MO000022168
ENSG00000130985	UBA1	MO000019948,MO000089081,MO000119161
ENSG00000131196	NFATC1	MO000035653,MO000035654
ENSG00000131508	UBE2D2	MO000032587
ENSG00000132155	RAF1	MO000021172
ENSG00000132341	RAN	MO000035101
ENSG00000132906	CASP9	MO000020362,MO000020367
ENSG00000133275	CSNK1G2	MO000103380
ENSG00000134057	CCNB1	MO000022448,MO000023615,MO000092591
ENSG00000134070	IRAK2	MO000019347,MO000039099
ENSG00000135341	MAP3K7	MO000021242
ENSG00000135476	ESPL1	MO000056297
ENSG00000135679	MDM2	MO000023311,MO000056625
ENSG00000136238	RAC1	MO000019507,MO000161481
ENSG00000136875	PRPF4	MO000087569,MO000256946
ENSG00000136997	MYC	MO000056483
ENSG00000137693	YAP1	MO000042300,MO000088968
ENSG00000139625	MAP3K12	MO000022232
ENSG00000139687	RB1	MO000017774
ENSG00000141736	ERBB2	MO000018962
ENSG00000142208	AKT1	MO000017421,MO000293358
ENSG00000142230	SAE1	MO000020004,MO000020010,MO000085628,MO000085634
ENSG00000142765	SYTL1	MO000161481
ENSG00000143507	DUSP10	MO000030861,MO000126134
ENSG00000144579	CTDSP1	MO000145885
ENSG00000144677	CTDSPL	MO000167517
ENSG00000145604	SKP2	MO000019867
ENSG00000146648	EGFR	MO000016677
ENSG00000149269	PAK1	MO000019481
ENSG00000149930	TAOK2	MO000036594
ENSG00000150455	TIRAP	MO000022529
ENSG00000153487	ING1	MO000045001
ENSG00000156711	MAPK13	MO000022210
ENSG00000156831	NSMCE2	MO000098770,MO000098771
ENSG00000158402	CDC25C	MO000022399,MO000022400
ENSG00000158517	NCF1	MO000161481
ENSG00000160551	TAOK1	MO000036592
ENSG00000162889	MAPKAPK2	MO000009253
ENSG00000163513	TGFBR2	MO000020325
ENSG00000163629	PTPN13	MO000020924
ENSG00000163904	SENP2	MO000096095,MO000096098
ENSG00000163932	PRKCD	MO000031189
ENSG00000164045	CDC25A	MO000023445
ENSG00000164305	CASP3	MO000020397,MO000020398,MO000020615
ENSG00000164327	RICTOR	MO000054153
ENSG00000164611	PTTG1	MO000044992
ENSG00000164754	RAD21	MO000042938,MO000042939,MO000042940,MO000102071
ENSG00000164885	CDK5	MO000036416,MO000186472
ENSG00000164924	YWHAZ	MO000021754
ENSG00000165168	CYBB	MO000161481
ENSG00000165806	CASP7	MO000021207,MO000032000
ENSG00000166200	COPS2	MO000031213,MO000035161,MO000166208
ENSG00000166484	MAPK7	MO000079049
ENSG00000166851	PLK1	MO000022403,MO000096187
ENSG00000166949	SMAD3	MO000019780,MO000020328,MO000057832,MO000279226,MO000480307
ENSG00000167065	DUSP18	MO000209230
ENSG00000168610	STAT3	MO000013123
ENSG00000169032	MAP2K1	MO000009386,MO000021174
ENSG00000169967	MAP3K2	MO000030900
ENSG00000170312	CDK1	MO000021743,MO000021748,MO000023615,MO000092591
ENSG00000170345	FOS	MO000018137
ENSG00000171223	JUNB	MO000007830,MO000058921
ENSG00000171552	BCL2L1	MO000020487
ENSG00000171720	HDAC3	MO000023578
ENSG00000171862	PTEN	MO000034818
ENSG00000172531	PPP1CA	MO000044885
ENSG00000172936	MYD88	MO000039099
ENSG00000173039	RELA	MO000019363,MO000033264
ENSG00000173327	MAP3K11	MO000022231,MO000084620
ENSG00000173846	PLK3	MO000031101
ENSG00000175104	TRAF6	MO000019352
ENSG00000175215	CTDSP2	MO000167512
ENSG00000176749	CDK5R1	MO000036039,MO000036416,MO000106111,MO000186472
ENSG00000177189	RPS6KA3	MO000032352,MO000078692
ENSG00000177606	JUN	MO000019469,MO000058322,MO000167543
ENSG00000177889	UBE2N	MO000022137,MO000087811
ENSG00000180228	PRKRA	MO000022540
ENSG00000180370	PAK2	MO000042946,MO000084423
ENSG00000184047	DIABLO	MO000020339
ENSG00000184216	IRAK1	MO000039099
ENSG00000185345	PRKN	MO000044267,MO000044588
ENSG00000185359	HGS	MO000036353
ENSG00000185386	MAPK11	MO000022209,MO000092896
ENSG00000185651	UBE2L3	MO000032588
ENSG00000186591	UBE2H	MO000119207
ENSG00000188130	MAPK12	MO000004689
ENSG00000196083	IL1RAP	MO000039099
ENSG00000196396	PTPN1	MO000021383
ENSG00000196591	HDAC2	MO000023577,MO000058923
ENSG00000197122	SRC	MO000021478
ENSG00000197386	HTT	MO000033243
ENSG00000197442	MAP3K5	MO000020270
ENSG00000198001	IRAK4	MO000039099
ENSG00000198373	WWP2	MO000142942
ENSG00000198742	SMURF1	MO000019696
ENSG00000204209	DAXX	MO000020269
ENSG00000204435	CSNK2B	MO000018901,MO000018903,MO000033264
ENSG00000213341	CHUK	MO000019311,MO000060084
ENSG00000244405	ETV5	MO000100895
ENSG00000269335	IKBKG	MO000019309,MO000084601,MO000200698
