ID	Average Intensity	UniProt ID	Description	Gene_Symbol	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore
ENSG00000003393	NaN		ALS2,alsin Rho guanine nucleotide exchange factor	ALS2	57679	9.242026806	6.720078	506	5.743256	656	7.507433	720	5.673969	521	516.0155443	2.41906E-4	-1.419118999	0.127050275	7.04E-5	-3.974769595	8.736445113	5.167229	335	6.688412	386	5.228246	444	7.197217	625	9.14853501	9.07981478	9.23452391	9.08745643	8.77068337	8.90866744	8.77508122	8.91247414	NM_001135745,NM_020919	7.064034367	0.071571239	-7.064034367
ENSG00000003436	18.587971260718014	P10646	tissue factor pathway inhibitor	TFPI	7035	12.32446971	121.902774	5399	68.268314	3962	128.523838	7406	63.421958	3319	3985.158681	0.090851016	-1.805180581	0.442336996	0.054047347	-1.926456915	11.47233009	95.149867	3560	30.081379	1202	95.68453	4807	32.065857	2089	12.34469153	11.76493093	12.40204329	11.81817783	11.93133692	11.08861873	11.95285352	11.14222991	NM_001032281,NM_001318941,NM_001329239,NM_001329240,NM_001329241,NM_006287	2.525412911	0.337425859	-2.525412911
ENSG00000003509	NaN		NADH:ubiquinone oxidoreductase complex assembly factor 7	NDUFAF7	55471	6.883000093	1.860668	110	2.637215	107	2.663955	142	3.257123	104	100.5449095	0.017719441	-1.422110871	0.192655803	0.008364207	-2.637003076	6.376092601	3.057171	77	1.385037	72	1.262865	91	2.422571	103	6.86693672	6.57260593	6.86818496	6.73922144	6.55042467	6.52066047	6.46765467	6.43028078	NM_001083946,NM_001350024,NM_001350025,NM_001350027,NM_144736,NR_146401,NR_146402,NR_146403,NR_146404,NR_146405,NR_146406,NR_146407,NR_146408,NR_146409,NR_146410	3.624602125	0.139851899	-3.624602125
ENSG00000003989	NaN		solute carrier family 7 member 2	SLC7A2	6542	7.934761759	2.017972	171	2.199188	301	2.14023	234	2.502581	268	906.0215012	2.04E-10	6.40413845	0.400370052	2.21E-11	6.691320906	10.61412217	18.196245	1489	18.043917	1388	24.627634	2652	5.852353	728	8.45472402	8.60539243	8.49167722	8.69373124	10.22121109	10.1799939	10.51867201	9.16668693	NM_001008539,NM_001164771,NM_003046	24.56581309	0.109068664	24.56581309
ENSG00000004059	1563.5841579398718	P84085	ADP ribosylation factor 5	ARF5	381	10.22086291	76.683159	937	70.360283	1392	78.232468	1235	75.649513	1173	996.7846315	3.82E-9	-1.492317677	0.092798317	4.85E-10	-6.223762463	9.64416	62.033157	735	57.721394	643	59.667416	930	56.705513	1021	10.06151065	10.11113825	10.08006429	10.17143487	9.82117259	9.73423653	9.7875764	9.72203783	NM_001662	11.97307223	0.048166661	-11.97307223
ENSG00000004139	NaN		sterile alpha and TIR motif containing 1	SARM1	23098	3.840539717	0.140092	12	0.184142	25	0.102318	11	0.09392	10	23.47574969	0.079226774	2.264264556	0.591639983	0.046279209	1.992837817	5.027938717	0.62116	49	0.130175	10	0.507765	53	0.16104	20	4.16361956	4.38514829	3.99452225	4.02613264	5.0836691	4.06893613	4.93196105	4.1680301	NM_015077	6.680947886	0.177729122	6.680947886
ENSG00000004142	69.71845127727167	Q9Y2S7	DNA polymerase delta interacting protein 2	POLDIP2	26073	10.21067582	27.826814	845	30.960195	1524	29.143477	1144	31.601468	1218	1705.923243	7.18E-12	1.878754495	0.126558099	6.55E-13	7.188607929	11.12078401	63.051575	1851	66.858568	1846	66.248999	2563	68.993052	3085	10.29006946	10.49063432	10.32753354	10.50324686	10.91438431	10.93682579	10.95884599	10.96958899	NM_001290145,NM_015584	8.287691375	0.10981444	8.287691375
ENSG00000004487	41.26512131382839	O60341	lysine demethylase 1A	KDM1A	23028	11.325609	57.177901	1937	59.368678	3265	57.106222	2500	58.790413	2529	2156.361885	0.01159021	-1.469689537	0.198783266	0.005197067	-2.794558302	10.76998972	36.016496	1184	55.956066	1729	37.143337	1606	57.303317	2865	11.13130926	11.29276302	11.13148816	11.27837891	10.68922394	11.02330768	10.71207317	11.04713677	NM_001009999,NM_015013	6.228572372	0.089204917	-6.228572372
ENSG00000004660	NaN		calcium/calmodulin dependent protein kinase kinase 1	CAMKK1	84254	7.416406264	3.230795	129	3.2129	207	3.282773	168	3.470485	175	106.6611357	7.29E-22	-3.998502876	0.201239529	2.91E-23	-9.935721547	5.409173907	0.952085	37	0.925453	34	0.76652	39	1.183655	70	6.94665809	7.06706915	6.9562953	7.12976035	5.96587447	5.93106476	5.82358057	6.08367004	NM_032294,NM_172206,NM_172207	22.62980961	0.088698597	-22.62980961
ENSG00000004766	2.5108104177585173	Q96JG6	EARP/GARPII complex subunit,VPS50	VPS50	55610	8.262999084	4.360367	279	7.710919	347	4.093481	339	3.086696	251	340.551798	0.027975195	1.217509296	0.115638447	0.014074773	2.455349369	8.546551556	5.203558	323	5.3362	312	5.457981	446	5.053491	477	8.40081967	8.30100875	8.35090937	8.23350851	8.4906391	8.48485587	8.53057535	8.44055819	NM_001257998,NM_017667,NM_024553	3.968078734	0.071458378	3.968078734
ENSG00000004777	NaN		Rho GTPase activating protein 33	ARHGAP33	115703	6.562998962	1.48687	67	1.601038	122	1.532683	94	1.583298	95	83.54216395	0.422393311	-1.303265316	0.393967219	0.332068493	-0.969955863	6.180600619	0.819665	37	2.058449	89	0.708145	41	2.030721	141	6.32757817	6.53523566	6.39301827	6.52553742	5.88013449	6.54382285	5.76719963	6.5316646	NM_001172630,NM_052948	3.754645352	0.101846728	-3.754645352
ENSG00000004961	98.92542488188653	P53701	holocytochrome c synthase	HCCS	3052	8.438081127	7.879975	207	11.449981	486	9.368437	318	11.524658	384	525.1001445	1.7E-5	2.025506867	0.220598569	3.91E-6	4.615999925	9.458142438	21.794045	552	29.813346	713	21.679258	724	23.752119	918	8.41325201	8.8102326	8.54186378	8.81349806	9.17318639	9.42811102	9.16932971	9.22600773	NM_001122608,NM_001171991,NM_005333	5.099514356	0.20003107	5.099514356
ENSG00000005007	526.073982382306	Q92900,Q92900-2	RNA helicase and ATPase,UPF1	UPF1	5976	10.32168886	17.748998	1063	18.047817	1749	17.191919	1329	13.00204	988	1275.27017	0.973116868	-1.006674519	0.180246312	0.957536315	-0.053245485	10.31146744	15.354282	891	18.265597	997	19.046434	1452	24.090087	2123	10.31891075	10.45581542	10.29197344	10.17375146	10.13860175	10.2545932	10.31583856	10.49421942	NM_001297549,NM_002911	0.088266571	0.115801711	-0.088266571
ENSG00000005020	NaN		src kinase associated phosphoprotein 2	SKAP2	8935	10.04842025	26.898497	1194	14.520797	1048	16.202986	933	16.389074	927	844.5366146	4.94525E-4	-1.679566282	0.197665265	1.53941E-4	-3.78462412	9.299487683	13.592938	588	11.942619	486	13.134409	747	12.243231	805	10.17722662	9.75704847	9.72949087	9.85879175	9.52222459	9.39052428	9.49215529	9.41212498	NM_001303468,NM_003930	3.64629548	0.205395468	-3.64629548
ENSG00000005022	9292.03618789071	P05141	solute carrier family 25 member 5	SLC25A5	292	11.43782561	156.280853	2354	126.614098	3087	161.429169	3140	126.625069	2419	4307.004507	8.4E-28	2.10532839	0.095511842	2.45E-29	11.24515312	12.51171995	319.289368	4660	374.529083	5141	325.084808	6246	381.980621	8477	11.69341057	11.63898852	11.72005635	11.63551632	12.24092731	12.35482183	12.25627043	12.37583067	NM_001152	25.82232457	0.041587826	25.82232457
ENSG00000005059	6.087477372240625	Q9NWR8	mitochondrial calcium uniporter dominant negative beta subunit	MCUB	55013	8.235692398	13.993965	199	17.922476	412	15.352718	282	17.53237	316	331.6641706	0.261833119	1.199611321	0.198789144	0.186557422	1.320831896	8.49942969	19.804415	273	26.601431	345	19.44483	353	26.185263	548	8.10647634	8.42312358	8.18008923	8.40116723	8.32927234	8.55165716	8.31360261	8.53954644	NM_017918	1.665385454	0.158364114	1.665385454
ENSG00000005100	0.6961740107779747	Q9H6R0	DEAH-box helicase 33	DHX33	56919	8.969706473	5.350846	332	6.06349	611	6.397311	518	6.808805	541	783.724358	4.17E-6	2.125869917	0.220983115	8.49E-7	4.923694365	10.05811019	13.919353	835	18.036649	1019	11.04566	869	19.303407	1765	9.03403754	9.24280313	9.17898261	9.3379415	9.759514	9.9642014	9.55390263	10.03092601	NM_001199699,NM_020162	8.530662477	0.127587244	8.530662477
ENSG00000005175	20.941500091879124	Q9H6T3	RNA polymerase II associated protein 3	RPAP3	79657	9.336639434	11.148205	459	13.362562	854	11.567011	615	12.584266	657	680.1520555	0.707694411	1.103952924	0.295262035	0.62893441	0.48322722	9.479264044	10.117024	403	21.209812	789	10.579541	555	21.400904	1286	9.22498037	9.46012639	9.25535787	9.44051249	9.09204752	9.67445456	9.12561163	9.68458068	NM_001146075,NM_001146076,NM_024604	1.166901405	0.122225074	1.166901405
ENSG00000005189	NaN		RNA exonuclease 5	REXO5	81691	5.738052972	1.814154	59	0.985835	52	1.707495	70	0.709316	29	52.14885972	0.934640726	-1.044508455	0.517624125	0.903397778	-0.121370252	5.670278739	0.371483	12	2.118597	61	1.075584	45	2.196143	104	5.89049804	5.5409003	5.82606389	5.31148688	4.8785833	5.90779129	5.45665386	5.95700094	NM_001144924,NM_001199053,NM_030941	0.253113019	0.26776273	-0.253113019
ENSG00000005194	123.95672886545637	Q6FI81	cytokine induced apoptosis inhibitor 1	CIAPIN1	57019	8.414954189	13.227601	313	13.809714	544	7.888768	248	8.454189	261	341.0188291	0.992502013	-1.002310563	0.256527298	0.989644159	-0.012979487	8.41245991	14.432778	329	11.868877	256	14.259071	440	11.083969	386	8.49105414	8.67717098	8.09354422	8.25691405	8.49983262	8.31298768	8.51273766	8.25845793	NM_001308347,NM_001308358,NM_020313	0.009712642	0.25680748	-0.009712642
ENSG00000005206	NaN		signal peptide peptidase like 2B	SPPL2B	56928	8.005954508	5.750855	244	4.0771	278	5.179829	285	3.819875	207	277.6283436	0.397581463	1.159932455	0.210224181	0.308604309	1.018154984	8.220126298	7.667971	317	5.18238	201	7.279774	393	5.089757	320	8.16017886	7.98782837	8.07714993	7.9434522	8.35082814	7.9906683	8.29807173	7.98047392	NM_001077238,NM_152988	2.222934428	0.096346427	2.222934428
ENSG00000005238	NaN		family with sequence similarity 214 member B	FAM214B	80256	9.481068954	17.153656	582	20.368757	1005	17.139398	740	13.616464	544	520.8755616	5.27E-7	-2.18676611	0.211325749	9.22E-8	-5.34151153	8.353645534	10.826466	355	7.001836	217	9.54834	412	7.400099	368	9.24536567	9.43357405	9.23239596	9.09753517	8.78755665	8.42657884	8.684768	8.46302869	NM_001317991,NM_025182,NR_134455	8.160836275	0.138150476	-8.160836275
ENSG00000005243	NaN		coatomer protein complex subunit zeta 2	COPZ2	51226	4.574415504	1.287423	14	2.276225	38	1.689316	23	1.625158	22	17.69937136	0.051356391	-2.030047798	0.46534004	0.028149371	-2.195198371	3.532760529	0.276542	3	1.031076	10	1.387757	19	1.210618	19	4.06424201	4.48634219	4.20677805	4.27445316	3.48629876	3.8877473	4.05884665	3.96417615	NM_016429	5.929712955	0.175667015	-5.929712955
ENSG00000005249	54.491219907406986	P31323				NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN	NaN	NaN
ENSG00000005302	NaN		male-specific lethal 3 homolog (Drosophila)	MSL3	10943	8.6439601	10.782884	346	8.92975	434	11.838443	431	9.647656	369	465.7846368	0.004197717	1.330095067	0.130888313	0.001665836	3.144126133	9.054035708	13.238843	416	19.347509	489	14.747019	531	18.498606	795	8.76772305	8.67628938	8.73871188	8.73861878	8.88849671	9.05056712	8.86169037	9.05848585	NM_001193270,NM_001282174,NM_006800,NM_078628,NM_078629	10.63835749	0.038546891	10.63835749
ENSG00000005436	NaN		GC-rich sequence DNA-binding factor 2	GCFC2	6936	8.342510742	5.75421	228	6.131279	421	6.487115	327	6.661186	323	440.9867215	9.36E-8	1.716367694	0.137531078	1.46E-8	5.666782097	9.122505374	11.236819	436	11.982698	464	10.990739	638	12.43482	816	8.38594909	8.60256212	8.46759699	8.58192054	8.88400868	8.9624919	8.97573599	9.04016378	NM_001201334,NM_001201335,NM_003203	7.682286339	0.101531575	7.682286339
ENSG00000005469	NaN		carnitine O-octanoyltransferase	CROT	54677	7.928484631	7.660053	243	3.462163	194	7.75527	333	4.655745	184	159.2007141	1.02E-5	-3.254437857	0.359972359	2.25E-6	-4.72927524	6.224621591	2.072044	41	3.445247	88	1.964148	54	3.592018	133	7.7509539	7.25323832	7.80790998	7.4124849	6.34101339	6.88097323	6.33484986	6.83060494	NM_001143935,NM_001243745,NM_021151	6.383602327	0.266912466	-6.383602327
ENSG00000005483	NaN		lysine methyltransferase 2E	KMT2E	55904	11.343376	33.297743	2518	20.772441	2536	32.877005	3182	20.685007	1993	1859.336206	6.09E-8	-2.319291826	0.211308832	9.27E-9	-5.743651825	10.12970769	15.009071	1113	11.381404	781	15.514909	1515	11.19374	1237	11.25545121	10.95391314	11.23617513	10.95248257	10.50805912	10.25223848	10.53444976	10.23881343	NM_018682,NM_182931	7.176130845	0.169125722	-7.176130845
ENSG00000005486	12.619005658440802	Q6NTF9	rhomboid domain containing 2	RHBDD2	57414	9.209035144	27.253676	508	24.669638	687	24.536333	634	23.840128	518	504.1715268	0.128532417	-1.42130548	0.290443915	0.080750192	-1.746349774	8.702223406	25.161334	487	12.841601	228	24.569297	626	12.858395	371	9.1261839	9.09371281	9.09715735	9.05627925	9.05499527	8.4648069	9.03373825	8.47077576	NM_001040456,NM_001040457,NM_001346186,NM_001346187,NM_001346188,NM_001346189,NR_144390,NR_144391	17.67375007	0.028675959	-17.67375007
ENSG00000005700	NaN		inhibitor of Bruton tyrosine kinase	IBTK	25998	10.17892245	11.763474	794	13.562553	1475	12.136894	1056	15.119604	1294	1302.571181	0.178387381	1.247249676	0.204413244	0.118915295	1.55934268	10.49778738	22.257924	1452	15.599941	959	21.536414	1852	17.914638	1774	10.08437236	10.31670684	10.1086906	10.40989892	10.56421208	10.22979411	10.53534115	10.34653579	NM_001300906,NM_015525	2.005941735	0.158960215	2.005941735
ENSG00000005801	NaN		zinc finger protein 195	ZNF195	7748	8.177891778	5.936042	214	6.083371	350	7.263789	331	5.770538	263	283.5956287	0.751698321	-1.043622065	0.148046112	0.677349851	-0.416082205	8.116845461	6.446303	223	7.540335	246	5.891992	270	8.053076	430	8.07033999	8.19670679	8.22063467	8.15784975	8.07160906	8.17557507	8.00324879	8.24415785	NM_001130519,NM_001130520,NM_001242841,NM_001242842,NM_001242843,NM_001256823,NM_001256824,NM_001256825,NM_007152,NR_040083,NR_046381,NR_046382	0.925232968	0.065979401	-0.925232968
ENSG00000006007	NaN		glycerophosphodiester phosphodiesterase 1	GDE1	51573	10.34970888	38.66346	1266	24.070759	1275	37.596332	1590	24.251294	1005	1306.608853	0.989383721	1.002776015	0.212431853	0.984979342	0.018826715	10.35351182	41.202589	1306	29.371546	875	42.296513	1768	31.055319	1496	10.48127925	10.19920564	10.45781674	10.20042989	10.47390982	10.15941828	10.49744693	10.20754645	NM_001324066,NM_001324067,NM_016641,NR_136689	0.024374083	0.15602392	0.024374083
ENSG00000006042	NaN		transmembrane protein 98	TMEM98	26022	6.581884664	3.522038	71	3.623467	118	3.655273	99	3.731118	94	57.77021362	1.33E-18	-4.767047468	0.246696589	6.66E-20	-9.133065036	4.30341654	0.83424	17	0.560764	11	1.006639	27	0.954602	30	6.03199202	6.18007525	6.10053171	6.18772366	5.01500889	4.82289647	5.11051639	5.06722797	NM_001033504,NM_001301746,NM_015544	30.99005834	0.07352255	-30.99005834
ENSG00000006047	322.7338935891321	Q9Y2T7				NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN	NaN	NaN
ENSG00000006062	NaN		mitogen-activated protein kinase kinase kinase 14	MAP3K14	9020	8.61885485	6.518107	326	5.940253	481	6.145932	397	5.640031	358	373.4973365	0.25530923	-1.113624006	0.116101032	0.181123869	-1.337302642	8.467062597	6.951962	337	6.365732	291	6.392897	408	5.772232	426	8.58885136	8.63110285	8.5401753	8.58361646	8.5834438	8.48419359	8.5124998	8.40562675	NM_003954	4.082184805	0.037184072	-4.082184805
ENSG00000006118	NaN		transmembrane protein 132A	TMEM132A	54972	9.227585987	13.92528	547	10.829351	688	13.292902	675	9.382144	467	599.1001165	0.99709877	-1.001510734	0.414476801	0.995807505	-0.005254538	9.225720017	21.156068	805	7.592234	272	19.484824	976	6.369511	368	9.27593791	9.18144921	9.23736003	9.05682654	9.5851766	8.6980076	9.50975978	8.56733671	NM_017870,NM_178031	0.019518247	0.095601312	-0.019518247
ENSG00000006453	25.190250422295925	Q9UHR4	BAI1 associated protein 2 like 1	BAIAP2L1	55971	9.094906086	10.689956	438	9.993569	662	10.08387	533	10.332544	537	631.1398107	0.001798454	1.30746477	0.113384591	6.4689E-4	3.411151998	9.482738853	16.793232	666	15.481451	578	16.196232	846	14.540432	877	9.15096657	9.21138573	9.10358889	9.23647898	9.47142818	9.37335238	9.43992162	9.32200246	NM_018842	6.470090599	0.059942401	6.470090599
ENSG00000006459	NaN		lysine demethylase 7A	KDM7A	80853	7.774195663	1.615401	166	1.464372	243	1.874257	248	1.634703	213	179.5187627	0.307325684	-1.562196719	0.531374443	0.225836494	-1.211153725	7.130594042	1.811342	180	0.35052	33	2.158141	282	0.561572	85	7.51184235	7.54817953	7.63848367	7.64064868	7.54716867	6.37664811	7.69827087	6.64065154	NM_030647	9.905515268	0.064974068	-9.905515268
ENSG00000006530	125.70188095417569	Q53H12	acylglycerol kinase	AGK	55750	8.176487788	7.252007	237	6.792932	359	6.624572	279	6.611556	274	432.6408965	7.66E-7	1.990410674	0.188496192	1.38E-7	5.268361756	9.169846611	13.509851	427	19.796375	589	12.26531	511	18.298784	880	8.38794833	8.44735328	8.31633766	8.42325712	8.84148729	9.15282548	8.75871681	9.08470996	NM_018238	17.40654732	0.057068114	17.40654732
ENSG00000006576	NaN		putative homeodomain transcription factor 2	PHTF2	57157	8.882545427	9.06223	414	5.670858	509	9.722127	565	5.315704	383	748.124392	8.82E-5	2.170661596	0.264373735	2.34E-5	4.229371828	10.00039545	10.882901	589	26.777743	1102	15.380721	876	27.126792	1783	9.16592135	9.06120038	9.2105978	9.02686595	9.42320505	10.00577856	9.52683196	10.00993555	NM_001127357,NM_001127358,NM_001127359,NM_001127360,NM_020432	12.93987131	0.086388032	12.93987131
ENSG00000006625	240.44689584924853	O75223	gamma-glutamylcyclotransferase	GGCT	79017	7.890082337	11.720812	142	12.449106	254	10.901035	166	22.998736	368	443.9437474	2.61334E-4	2.744209649	0.368244656	7.65E-5	3.954954078	9.345776491	31.947182	399	57.767507	670	34.065182	549	61.395926	1151	7.96490246	8.13856844	7.8950007	8.62619671	8.74713401	9.2406554	8.78503432	9.3016817	NM_001199815,NM_001199816,NM_001199817,NM_024051,NR_037669	4.415740904	0.329660228	4.415740904
ENSG00000006652	3.631316388729564	O00458	interferon related developmental regulator 1	IFRD1	3475	9.376689954	11.713386	459	14.669225	916	12.234341	610	13.955316	679	869.2886584	0.015049781	1.615109501	0.256241048	0.006951769	2.699145927	10.06853274	18.939004	697	33.593114	1127	18.590388	895	32.149516	1818	9.37003061	9.65617368	9.39294672	9.60597815	9.67848288	10.12602449	9.65668888	10.12726219	NM_001007245,NM_001197079,NM_001197080,NM_001550,NR_120333	4.743541376	0.145849426	4.743541376
ENSG00000007080	342.5522696442433	Q96CT7	coiled-coil domain containing 124	CCDC124	115098	9.058356409	29.011135	320	45.410412	860	25.299345	383	39.730331	590	796.3784506	0.001149634	1.986602092	0.279474833	3.9494E-4	3.543442261	10.04933419	70.831223	803	97.502853	1040	69.324509	1035	89.874035	1549	9.0175843	9.53464562	8.96165275	9.41951316	9.73440788	9.99208676	9.71513574	9.92048757	NM_001136203,NM_138442	3.461981686	0.286245818	3.461981686
ENSG00000007376	NaN		RNA pseudouridylate synthase domain containing 1	RPUSD1	113000	7.984256953	9.246679	208	8.236238	308	10.487183	284	7.199245	210	317.7015212	0.011310332	1.508752903	0.211661561	0.005057838	2.803326896	8.578113724	12.305516	275	18.701867	390	11.200934	320	18.700694	621	8.10340179	8.14594743	8.14857318	8.03170646	8.29963317	8.62613139	8.19652848	8.61616083	NM_001324086,NM_001324410,NM_001324411,NM_001324412,NM_001324413,NM_001324414,NM_001324415,NM_058192	10.88675652	0.054548549	10.88675652
