ID	Symbol	Total count	V$AP1_01	V$AP1_02	V$AP1_Q4_01	V$AP1_Q6_01	V$BATFJUN_01	V$BETACATENIN_Q3	V$BETACATENIN_Q3_01	V$BETACATENIN_Q6	V$BETACATENIN_Q6_01	V$CFOS_Q4	V$CFOS_Q6	V$E12_Q6	V$E2A_03	V$E2A_04	V$E2A_Q2	V$E2A_Q6_01	V$E2A_Q6_02	V$E47_01	V$E47_02	V$FLI1TCF3_01	V$FOSJUN_02	V$FOS_02	V$FOS_03	V$FOS_06	V$FOS_10	V$FOS_11	V$FOXM1_01	V$FOXM1_Q3	V$HAND1E47_01	V$HOXB2TCF3_01	V$JUNBFOS_01	V$JUNBJUN_01	V$JUNDFOS_01	V$JUNFOSB_01	V$JUNFRA1_01	V$JUNFRA2_01	V$JUN_03	V$JUN_04	V$JUN_06	V$JUN_08	V$JUN_09	V$MATH1_Q2	V$MIZ1_01	V$MYOD_Q6_01	V$NFKAPPAB_01	V$P50RELAP65_Q5_01	V$RELA_03	V$RELA_08	V$RELBP52_01	V$SNA_01	V$SNA_02	V$SNA_04	V$SNA_05	V$SNA_Q4	V$STAT3STAT3_Q3	V$TAL1BETAE47_01	V$TCF4_Q5_02	V$TEAD4TCF3_01
ENSG00000168056	LTBP3	141	1	2	1	1	2	0	1	2	1	1	0	0	0	0	0	0	0	3	0	1	2	2	2	2	2	2	0	0	36	1	2	3	2	3	2	2	0	2	2	2	1	0	7	0	1	5	28	1	0	5	4	2	0	0	0	1	1	0
ENSG00000077942	FBLN1	139	0	0	0	0	3	0	2	6	0	0	0	2	2	0	1	0	0	5	2	1	6	0	8	1	5	3	1	0	11	1	3	7	7	6	2	10	0	3	3	0	0	0	0	1	0	3	6	2	0	6	4	4	2	0	0	6	1	3
ENSG00000101849	TBL1X	136	0	0	0	0	2	0	1	1	0	0	0	1	1	0	0	0	0	8	0	2	4	0	2	1	1	1	0	0	19	6	2	4	3	4	2	6	1	3	1	0	0	0	3	0	2	5	11	5	1	7	8	8	1	0	0	6	0	3
ENSG00000182492	BGN	135	0	0	0	0	1	0	2	2	2	0	0	0	0	0	0	0	0	6	0	3	1	0	7	0	2	0	1	1	20	1	0	1	2	2	0	3	0	1	0	0	0	0	33	0	0	0	22	0	0	6	6	4	0	0	0	3	2	1
ENSG00000105855	ITGB8	134	0	0	0	0	0	0	4	6	3	0	0	0	4	4	1	0	0	6	1	0	2	0	8	1	2	1	1	0	7	1	2	2	3	1	1	2	1	1	1	2	0	0	5	0	3	6	16	3	0	8	7	8	1	0	0	4	4	1
ENSG00000163235	TGFA	130	0	2	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	5	1	1	5	2	1	2	3	2	0	0	26	2	2	5	3	5	3	5	0	2	0	0	0	1	1	1	0	2	19	0	0	5	5	4	1	0	1	6	0	2
ENSG00000135924	DNAJB2	129	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	5	0	8	3	2	0	0	0	18	2	4	9	4	7	2	5	0	3	1	2	0	0	13	0	0	7	18	1	0	2	1	1	0	0	0	3	0	1
ENSG00000171604	CXXC5	129	0	0	0	0	0	0	0	4	1	0	0	1	3	2	0	2	1	8	3	3	1	0	1	0	1	0	1	0	19	4	0	1	1	1	1	1	0	0	0	0	0	1	14	1	0	2	22	0	0	9	7	5	1	0	0	4	1	2
ENSG00000129682	FGF13	128	0	0	0	0	1	0	1	5	0	0	0	0	2	0	0	0	0	5	1	1	4	0	6	1	3	1	0	1	23	2	1	5	4	6	1	7	0	1	1	0	0	1	0	0	3	6	12	3	0	4	3	3	1	0	1	6	1	1
ENSG00000196352	CD55	127	0	0	0	0	2	0	0	3	1	0	0	1	1	1	0	0	0	3	1	2	2	0	8	1	3	0	0	0	10	1	2	6	4	5	1	5	0	2	1	0	0	0	13	0	1	5	20	1	0	6	4	5	2	0	0	3	1	0
ENSG00000162772	ATF3	124	0	0	0	0	2	0	2	2	1	0	0	1	3	0	0	0	0	8	3	2	2	0	8	1	2	1	0	1	12	0	2	5	2	7	1	6	1	2	1	0	0	0	3	0	0	2	9	0	0	6	4	3	1	0	0	14	1	3
ENSG00000061938	TNK2	120	0	0	0	0	1	0	0	1	0	0	0	1	3	3	0	0	0	8	2	1	3	0	5	1	3	1	1	0	14	1	1	7	3	3	1	6	0	1	1	0	0	0	4	0	1	5	12	2	0	5	5	4	1	0	1	7	0	1
ENSG00000048392	RRM2B	119	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	6	0	1	2	0	4	0	2	0	1	1	12	1	1	2	2	2	0	3	0	1	2	0	0	0	13	0	3	16	23	7	0	5	4	1	0	0	0	2	0	0
ENSG00000108773	KAT2A	119	0	0	0	0	3	0	0	1	0	0	0	1	3	2	1	0	0	4	1	1	3	0	8	0	3	0	0	0	10	2	2	4	4	3	1	5	0	2	2	0	0	0	3	0	1	6	14	2	0	6	6	6	2	0	1	5	0	1
ENSG00000197467	COL13A1	115	0	0	0	0	2	0	1	2	1	0	0	0	0	0	0	0	0	2	0	0	4	0	8	1	2	0	1	0	12	1	2	4	3	4	2	4	0	2	1	0	0	0	18	0	0	4	18	0	0	4	4	3	2	0	0	2	1	0
ENSG00000143228	NUF2	114	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	5	5	3	1	2	2	12	0	5	9	6	11	4	10	0	5	2	2	0	0	2	0	1	1	4	1	0	1	1	1	1	0	0	4	0	1
ENSG00000090339	ICAM1	108	0	2	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	2	0	2	3	2	5	2	2	1	1	0	11	1	2	5	2	4	2	3	0	2	0	1	0	0	3	0	2	7	24	4	0	2	2	1	1	0	2	0	0	1
ENSG00000115414	FN1	108	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	3	1	1	1	0	2	0	1	0	0	0	11	1	0	2	1	2	1	1	0	1	0	0	0	0	24	0	1	13	19	2	0	3	3	2	1	0	1	5	0	0
ENSG00000123384	LRP1	105	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	1	0	2	0	0	5	0	1	0	0	0	13	0	0	0	1	0	0	1	0	0	0	0	0	0	20	0	1	10	36	1	0	1	1	1	1	0	1	2	1	0
ENSG00000096063	SRPK1	104	2	2	1	1	2	0	0	1	0	1	1	0	0	0	0	0	0	3	0	1	4	2	4	2	3	2	1	0	11	2	3	5	4	6	3	6	0	3	1	2	0	0	0	0	2	3	7	3	0	2	2	2	0	0	0	2	0	2
ENSG00000141646	SMAD4	104	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	3	0	1	2	0	5	2	1	0	0	0	17	5	2	3	2	4	2	3	1	2	1	2	0	0	2	0	0	4	7	1	0	4	4	3	2	0	3	8	0	1
ENSG00000077238	IL4R	103	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	2	0	0	4	0	1	1	2	2	0	0	20	2	1	3	3	4	1	5	0	3	2	1	0	0	4	0	0	7	14	1	0	3	3	3	1	0	0	4	0	2
ENSG00000183496	MEX3B	103	0	0	0	0	3	1	1	3	1	0	0	0	0	0	0	0	0	0	0	1	3	0	3	0	3	2	0	0	7	2	3	3	3	4	2	4	0	3	2	0	0	0	26	0	0	3	16	1	0	0	0	0	0	0	0	2	1	0
ENSG00000010810	FYN	99	0	0	0	0	0	0	2	3	2	0	0	2	3	2	1	0	1	7	2	1	0	0	6	0	0	0	0	0	10	0	0	2	0	1	0	1	0	0	0	0	0	0	7	0	0	2	13	1	0	6	5	6	2	0	1	6	2	2
ENSG00000115760	BIRC6	99	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	7	1	3	0	0	3	0	0	0	0	0	15	1	0	1	0	1	0	0	0	0	0	0	0	0	12	0	0	5	17	0	0	7	6	5	1	0	1	6	0	1
ENSG00000116670	MAD2L2	99	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	4	1	1	0	0	1	0	0	0	0	0	16	1	0	0	0	0	0	0	0	0	0	0	0	1	20	1	0	4	21	0	0	5	5	7	3	1	0	2	0	1
ENSG00000115750	TAF1B	97	0	0	0	0	2	1	1	3	1	0	0	0	0	0	0	0	0	1	0	0	6	0	6	2	4	1	0	0	15	1	3	5	5	5	1	9	0	2	1	0	0	0	0	0	0	5	7	0	0	2	1	1	1	0	1	3	1	0
ENSG00000116017	ARID3A	97	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	1	17	0	0	0	0	1	0	0	0	0	0	0	0	0	13	0	1	11	30	4	0	4	2	3	1	0	1	2	0	0
ENSG00000136603	SKIL	95	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	4	1	0	0	0	4	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	27	1	0	3	22	0	0	3	2	4	1	0	0	4	0	1
ENSG00000117153	KLHL12	94	0	2	0	0	3	0	2	2	2	0	0	1	1	0	0	0	0	2	1	0	5	2	4	2	4	3	0	0	11	1	3	5	5	5	4	6	0	3	1	0	0	0	0	0	0	0	4	0	0	2	1	1	1	0	0	3	1	1
ENSG00000175216	CKAP5	94	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	8	1	1	4	0	4	0	2	0	0	1	15	4	2	4	4	5	1	5	0	2	0	0	0	0	0	0	0	4	7	0	0	3	1	0	0	0	0	10	0	2
ENSG00000182541	LIMK2	94	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0	1	1	3	2	0	1	1	1	0	1	0	22	1	2	2	2	2	2	2	0	1	1	0	0	0	3	1	3	4	10	2	0	2	2	4	1	0	0	5	1	1
ENSG00000196405	EVL	94	0	0	0	0	0	0	2	4	1	0	0	1	1	0	1	0	0	2	1	1	1	0	4	0	0	0	0	0	10	4	1	0	0	2	0	2	0	1	0	0	0	0	10	1	1	3	23	1	0	4	2	2	1	0	2	2	3	0
ENSG00000152465	NMT2	92	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	1	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	5	26	0	0	0	0	0	0	0	0	1	1	0
ENSG00000099940	SNAP29	91	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	5	1	1	1	0	1	0	0	0	0	0	13	1	0	1	0	1	0	1	0	0	0	0	0	0	18	0	0	6	17	0	0	6	4	5	2	0	1	2	0	0
ENSG00000149679	CABLES2	90	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	6	0	1	0	0	4	0	0	0	0	0	13	1	0	2	0	1	0	0	0	0	0	0	0	0	6	0	1	7	20	2	0	6	6	4	0	0	1	3	1	1
ENSG00000169679	BUB1	90	0	0	0	0	0	0	1	3	1	0	0	1	1	0	1	0	0	2	1	1	4	0	3	0	3	0	0	0	11	1	0	4	4	4	0	7	0	0	0	0	0	0	5	1	0	2	12	1	0	4	3	3	1	0	0	3	1	1
ENSG00000067900	ROCK1	89	0	0	0	0	0	0	0	1	0	0	0	2	2	2	0	1	0	4	1	1	0	0	2	0	0	0	0	0	19	1	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	5	17	2	0	6	6	5	0	0	0	3	0	1
ENSG00000154310	TNIK	89	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	3	1	1	1	0	0	8	0	1	1	2	1	1	2	0	1	1	1	0	0	16	0	1	6	15	2	0	4	4	4	3	0	0	2	1	0
ENSG00000026025	VIM	87	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	2	0	5	1	1	1	0	0	14	4	2	3	3	3	1	5	0	2	1	0	0	0	6	0	1	4	11	3	0	0	0	1	0	0	1	4	1	0
ENSG00000058335	RASGRF1	86	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	2	1	0	8	1	1	0	0	0	12	1	1	1	1	0	1	1	0	0	1	0	0	0	20	0	0	0	18	1	0	2	2	1	0	0	0	3	0	1
ENSG00000086758	HUWE1	86	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	2	0	0	0	1	1	13	1	0	4	0	4	0	4	0	1	0	0	0	0	4	0	2	5	22	2	0	4	2	3	0	0	0	3	0	2
ENSG00000148180	GSN	86	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	2	0	0	4	0	7	1	3	0	1	0	9	1	1	5	5	5	2	7	0	2	1	0	0	0	2	0	0	3	5	0	0	2	2	2	2	0	0	5	0	2
ENSG00000149948	HMGA2	86	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	3	0	0	9	0	0	0	0	0	11	3	0	1	0	1	0	1	0	0	0	0	0	0	2	0	0	6	12	3	0	9	7	8	1	0	0	2	0	0
ENSG00000186318	BACE1	86	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	1	1	0	4	1	1	0	2	0	21	2	1	2	1	1	0	1	0	1	0	0	0	0	3	0	0	4	16	1	0	3	3	2	0	0	0	7	1	0
ENSG00000146648	EGFR	85	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	2	7	21	3	1	3	2	2	0	0	1	3	1	0
ENSG00000131788	PIAS3	84	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	5	0	0	1	0	5	0	1	0	0	1	18	2	0	1	1	1	0	2	0	1	0	0	0	0	6	0	0	5	8	2	0	4	4	4	2	0	0	5	0	0
ENSG00000135046	ANXA1	84	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	5	0	0	3	0	4	1	2	1	1	0	16	2	1	4	2	3	0	5	0	1	2	0	0	0	0	0	0	0	3	0	0	5	5	2	2	0	0	6	2	1
ENSG00000135823	STX6	84	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	3	0	0	2	0	3	0	0	0	1	0	7	1	2	3	2	3	2	4	0	2	0	4	0	0	21	0	0	2	7	0	0	2	2	3	0	0	1	4	0	0
ENSG00000171033	PKIA	82	0	0	0	0	0	0	1	2	0	0	0	0	2	1	0	0	0	3	1	1	0	0	10	0	0	0	0	0	11	0	0	1	0	1	0	1	0	0	0	0	0	0	5	0	1	7	10	4	0	5	4	4	2	0	0	3	1	1
ENSG00000088325	TPX2	81	0	0	0	0	2	0	2	3	1	0	0	0	0	0	0	0	0	2	0	0	2	0	6	0	3	0	2	0	15	0	0	0	3	1	0	5	0	1	1	0	0	0	1	0	1	3	9	0	0	4	2	1	2	0	2	5	2	0
ENSG00000110876	SELPLG	81	0	0	0	0	0	1	2	5	1	0	0	0	0	1	0	0	0	3	0	1	0	0	3	0	1	0	1	1	13	2	0	2	1	1	0	2	0	0	0	0	0	0	6	0	1	5	11	1	0	4	2	2	1	0	1	5	1	0
ENSG00000166851	PLK1	81	0	0	0	0	1	0	2	1	2	0	0	1	1	0	1	0	0	2	1	0	2	0	8	0	1	0	0	0	11	1	0	5	2	5	1	5	0	1	0	0	0	0	0	1	1	1	8	1	0	2	2	1	1	0	0	6	2	1
ENSG00000141510	TP53	80	0	0	0	0	1	0	2	2	1	0	0	0	0	0	0	0	0	4	0	2	2	0	2	1	2	0	1	1	12	1	1	2	3	3	2	4	0	0	0	0	0	0	3	0	2	4	5	2	1	3	3	1	0	0	0	6	1	0
ENSG00000147526	TACC1	80	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	6	1	3	1	0	0	15	0	1	6	4	6	0	9	0	1	0	0	0	0	0	0	0	1	8	0	0	2	0	0	0	0	0	5	1	0
ENSG00000075643	MOCOS	78	0	0	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	4	1	2	0	0	1	0	1	0	0	0	13	0	0	1	1	1	0	1	0	0	0	0	0	0	5	1	0	5	19	0	0	4	4	3	1	0	1	3	0	1
ENSG00000087586	AURKA	78	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	5	2	0	2	0	6	0	2	0	0	0	16	2	1	2	2	2	1	3	0	0	0	0	0	2	0	0	0	0	7	0	0	4	3	3	3	0	0	4	1	2
ENSG00000080986	NDC80	75	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	4	0	1	1	0	5	0	1	0	0	0	17	3	1	3	1	2	1	2	2	1	0	0	0	0	1	0	0	0	12	0	0	3	2	1	0	0	0	6	0	0
ENSG00000035115	SH3YL1	74	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	4	0	4	1	2	0	0	0	9	3	4	5	4	4	2	8	1	2	1	4	0	0	0	0	0	1	3	1	0	0	0	0	1	0	0	5	0	0
ENSG00000131747	TOP2A	70	0	0	0	0	1	0	1	4	1	0	0	1	0	0	0	0	0	1	0	0	3	0	3	0	3	0	1	0	15	0	0	4	3	4	0	6	0	0	0	0	0	0	3	0	0	0	6	0	0	2	1	2	0	0	0	4	1	0
ENSG00000140443	IGF1R	70	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	3	1	0	0	0	0	11	0	1	1	1	1	0	1	0	1	0	0	0	0	16	0	0	7	15	2	0	1	1	1	0	0	0	0	0	0
ENSG00000186868	MAPT	70	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	2	0	4	0	2	1	1	0	6	0	2	3	2	4	1	5	0	2	1	0	0	0	5	0	0	4	13	0	0	1	1	1	1	0	0	2	0	0
ENSG00000143207	RFWD2	68	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	4	2	1	2	0	4	0	1	0	0	0	10	2	0	2	1	2	0	2	1	0	0	0	0	0	1	0	0	1	4	2	0	5	5	4	2	0	0	6	0	0
ENSG00000168615	ADAM9	68	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	0	15	0	0	2	1	2	1	1	0	0	0	0	0	0	4	0	0	6	10	2	0	3	2	3	1	0	0	6	1	0
ENSG00000164104	HMGB2	67	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	1	1	0	3	0	0	0	0	0	8	0	0	1	1	1	1	1	0	0	0	0	0	0	11	0	2	9	15	2	1	0	0	0	0	0	0	2	0	1
ENSG00000117399	CDC20	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	2	0	1	0	0	0	9	1	0	3	2	3	1	4	0	0	0	0	0	0	8	0	0	2	17	1	0	2	1	1	0	0	1	3	0	0
ENSG00000076641	PAG1	62	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	15	2	0	1	0	1	0	1	0	0	0	0	0	0	8	0	0	2	19	0	0	1	1	1	0	0	0	3	0	0
ENSG00000197323	TRIM33	60	0	0	0	0	0	0	2	4	2	0	0	1	1	0	1	0	0	1	1	0	1	0	1	0	1	0	0	0	10	0	0	1	1	1	1	1	0	0	0	0	0	0	4	1	0	2	14	0	0	1	1	1	1	0	0	2	1	1
ENSG00000120656	TAF12	50	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	1	0	1	0	0	4	0	0	0	0	1	10	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	10	0	0	1	1	1	1	0	1	6	1	0
ENSG00000160691	SHC1	37	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	1	0	1	0	4	0	0	2	1	1	1	1	0	0	0	0	0	0	2	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0
