ID	Symbol	Sites view	Total count	V$CEBPD_03	V$ETV2CEBPD_01	V$MYOGNF1_01	V$NF1C_01	V$NF1C_03	V$NF1_Q6	V$NFKAPPAB65_01	V$NFKAPPAB_01	V$NFKB1_Q4	V$NFKB_Q6_01	V$P50RELAP65_Q5_01	V$RELA_02	V$RELA_03	V$RELA_06	V$RELA_08	V$RELA_Q6	V$RELBP52_01
ENSG00000171150	SOCS5	DataElement[ENSG00000171150] class=class ru.biosoft.bsa.project.ProjectAsLists	74	1	0	1	0	0	0	3	2	2	6	12	0	34	0	2	9	2
ENSG00000123374	CDK2	DataElement[ENSG00000123374] class=class ru.biosoft.bsa.project.ProjectAsLists	71	0	0	1	1	0	0	0	0	3	3	13	2	39	0	2	6	1
ENSG00000137801	THBS1	DataElement[ENSG00000137801] class=class ru.biosoft.bsa.project.ProjectAsLists	70	0	0	3	0	0	0	4	1	2	6	3	3	35	0	4	6	3
ENSG00000110395	CBL	DataElement[ENSG00000110395] class=class ru.biosoft.bsa.project.ProjectAsLists	68	1	0	1	0	0	0	1	0	1	3	11	0	44	0	2	2	2
ENSG00000004897	CDC27	DataElement[ENSG00000004897] class=class ru.biosoft.bsa.project.ProjectAsLists	66	0	1	2	1	0	0	7	4	5	5	12	3	13	0	3	8	2
ENSG00000135605	TEC	DataElement[ENSG00000135605] class=class ru.biosoft.bsa.project.ProjectAsLists	60	0	0	0	0	0	0	3	2	1	3	5	0	32	0	3	7	4
ENSG00000149948	HMGA2	DataElement[ENSG00000149948] class=class ru.biosoft.bsa.project.ProjectAsLists	60	0	0	2	0	0	0	1	0	2	6	10	2	25	0	4	5	3
ENSG00000131788	PIAS3	DataElement[ENSG00000131788] class=class ru.biosoft.bsa.project.ProjectAsLists	59	0	0	1	1	0	0	5	0	4	6	9	0	24	0	2	6	1
ENSG00000140464	PML	DataElement[ENSG00000140464] class=class ru.biosoft.bsa.project.ProjectAsLists	58	0	0	2	0	0	0	1	1	2	4	7	1	34	0	2	4	0
ENSG00000117399	CDC20	DataElement[ENSG00000117399] class=class ru.biosoft.bsa.project.ProjectAsLists	57	0	0	2	1	0	0	2	1	1	6	8	0	29	0	3	3	1
ENSG00000012048	BRCA1	DataElement[ENSG00000012048] class=class ru.biosoft.bsa.project.ProjectAsLists	56	0	0	0	0	0	0	5	0	3	6	7	2	20	0	2	9	2
ENSG00000077238	IL4R	DataElement[ENSG00000077238] class=class ru.biosoft.bsa.project.ProjectAsLists	56	1	0	1	1	0	0	0	0	0	3	12	0	33	0	2	1	2
ENSG00000086758	HUWE1	DataElement[ENSG00000086758] class=class ru.biosoft.bsa.project.ProjectAsLists	56	0	0	1	0	0	0	2	2	1	3	8	0	34	0	2	3	0
ENSG00000177885	GRB2	DataElement[ENSG00000177885] class=class ru.biosoft.bsa.project.ProjectAsLists	56	0	0	0	0	0	0	3	0	1	9	10	1	23	0	4	4	1
ENSG00000101266	CSNK2A1	DataElement[ENSG00000101266] class=class ru.biosoft.bsa.project.ProjectAsLists	55	0	0	0	1	0	1	4	1	3	7	6	1	16	0	3	10	2
ENSG00000170836	PPM1D	DataElement[ENSG00000170836] class=class ru.biosoft.bsa.project.ProjectAsLists	55	0	0	2	0	0	0	5	0	3	6	10	0	18	0	5	4	2
ENSG00000168610	STAT3	DataElement[ENSG00000168610] class=class ru.biosoft.bsa.project.ProjectAsLists	54	0	0	1	0	0	0	4	0	3	5	7	0	26	0	1	7	0
ENSG00000161057	PSMC2	DataElement[ENSG00000161057] class=class ru.biosoft.bsa.project.ProjectAsLists	53	0	0	1	0	0	0	3	3	4	7	8	2	12	0	3	7	3
ENSG00000169679	BUB1	DataElement[ENSG00000169679] class=class ru.biosoft.bsa.project.ProjectAsLists	53	0	0	3	0	0	0	1	0	3	3	3	0	30	0	2	6	2
ENSG00000107643	MAPK8	DataElement[ENSG00000107643] class=class ru.biosoft.bsa.project.ProjectAsLists	52	0	0	2	0	0	0	0	1	1	3	9	0	31	0	1	3	1
ENSG00000213341	CHUK	DataElement[ENSG00000213341] class=class ru.biosoft.bsa.project.ProjectAsLists	52	0	0	0	0	0	0	6	2	3	5	3	1	20	0	2	9	1
ENSG00000139687	RB1	DataElement[ENSG00000139687] class=class ru.biosoft.bsa.project.ProjectAsLists	50	0	0	0	1	1	0	1	1	2	2	10	0	25	0	2	4	1
ENSG00000197467	COL13A1	DataElement[ENSG00000197467] class=class ru.biosoft.bsa.project.ProjectAsLists	50	0	0	3	1	0	0	0	0	1	0	4	0	36	0	0	5	0
ENSG00000033800	PIAS1	DataElement[ENSG00000033800] class=class ru.biosoft.bsa.project.ProjectAsLists	49	1	0	4	0	0	1	1	2	2	3	9	0	23	0	1	2	0
ENSG00000105229	PIAS4	DataElement[ENSG00000105229] class=class ru.biosoft.bsa.project.ProjectAsLists	49	0	0	3	1	0	0	0	1	2	1	3	1	32	0	1	3	1
ENSG00000077312	SNRPA	DataElement[ENSG00000077312] class=class ru.biosoft.bsa.project.ProjectAsLists	48	0	0	1	0	0	0	3	0	1	1	2	0	28	0	2	7	3
ENSG00000154229	PRKCA	DataElement[ENSG00000154229] class=class ru.biosoft.bsa.project.ProjectAsLists	48	0	0	0	0	0	0	0	0	1	1	6	0	38	0	0	2	0
ENSG00000141510	TP53	DataElement[ENSG00000141510] class=class ru.biosoft.bsa.project.ProjectAsLists	47	0	0	1	0	0	0	4	3	3	5	4	1	18	1	2	4	1
ENSG00000130177	CDC16	DataElement[ENSG00000130177] class=class ru.biosoft.bsa.project.ProjectAsLists	46	0	0	2	0	0	0	3	1	1	2	5	1	22	0	1	7	1
ENSG00000085365	SCAMP1	DataElement[ENSG00000085365] class=class ru.biosoft.bsa.project.ProjectAsLists	45	0	0	1	1	1	0	1	1	1	3	4	0	27	0	2	3	0
ENSG00000105325	FZR1	DataElement[ENSG00000105325] class=class ru.biosoft.bsa.project.ProjectAsLists	45	1	0	0	0	0	0	0	0	2	4	8	0	28	0	0	2	0
ENSG00000177479	ARIH2	DataElement[ENSG00000177479] class=class ru.biosoft.bsa.project.ProjectAsLists	44	1	1	0	0	0	0	3	0	2	5	5	2	18	0	2	5	0
ENSG00000104852	SNRNP70	DataElement[ENSG00000104852] class=class ru.biosoft.bsa.project.ProjectAsLists	43	0	0	0	0	0	0	1	1	3	5	5	0	22	0	1	4	1
ENSG00000116478	HDAC1	DataElement[ENSG00000116478] class=class ru.biosoft.bsa.project.ProjectAsLists	41	0	0	0	0	0	0	1	1	0	2	5	0	29	0	1	2	0
ENSG00000196504	PRPF40A	DataElement[ENSG00000196504] class=class ru.biosoft.bsa.project.ProjectAsLists	41	0	0	3	0	0	0	0	0	1	1	3	0	33	0	0	0	0
ENSG00000164162	ANAPC10	DataElement[ENSG00000164162] class=class ru.biosoft.bsa.project.ProjectAsLists	40	0	0	0	0	0	0	3	3	2	3	4	1	14	0	4	5	1
ENSG00000179295	PTPN11	DataElement[ENSG00000179295] class=class ru.biosoft.bsa.project.ProjectAsLists	39	0	0	2	0	0	0	2	1	3	3	3	2	19	0	0	4	0
ENSG00000105974	CAV1	DataElement[ENSG00000105974] class=class ru.biosoft.bsa.project.ProjectAsLists	37	0	0	0	0	0	0	1	2	1	1	6	0	21	0	2	3	0
ENSG00000112592	TBP	DataElement[ENSG00000112592] class=class ru.biosoft.bsa.project.ProjectAsLists	35	0	1	0	0	0	0	2	0	1	5	5	0	13	0	2	5	1
ENSG00000080986	NDC80	DataElement[ENSG00000080986] class=class ru.biosoft.bsa.project.ProjectAsLists	34	0	0	2	0	0	0	2	1	1	2	2	0	19	0	0	4	1
ENSG00000096063	SRPK1	DataElement[ENSG00000096063] class=class ru.biosoft.bsa.project.ProjectAsLists	34	0	0	1	0	0	0	1	2	0	4	3	0	14	0	3	6	0
ENSG00000160691	SHC1	DataElement[ENSG00000160691] class=class ru.biosoft.bsa.project.ProjectAsLists	33	0	0	2	0	0	0	1	0	2	3	4	0	18	0	2	1	0
ENSG00000131747	TOP2A	DataElement[ENSG00000131747] class=class ru.biosoft.bsa.project.ProjectAsLists	32	0	0	4	0	0	0	2	0	2	1	3	0	15	0	0	5	0
ENSG00000164611	PTTG1	DataElement[ENSG00000164611] class=class ru.biosoft.bsa.project.ProjectAsLists	32	0	0	0	0	0	0	2	0	1	6	4	2	11	0	2	4	0
ENSG00000088325	TPX2	DataElement[ENSG00000088325] class=class ru.biosoft.bsa.project.ProjectAsLists	31	0	0	1	0	0	0	0	1	1	2	3	0	18	0	0	5	0
ENSG00000164109	MAD2L1	DataElement[ENSG00000164109] class=class ru.biosoft.bsa.project.ProjectAsLists	28	1	0	2	1	1	1	0	0	1	2	2	1	13	0	0	3	0
ENSG00000096968	JAK2	DataElement[ENSG00000096968] class=class ru.biosoft.bsa.project.ProjectAsLists	26	0	0	0	0	0	0	2	0	1	3	6	0	11	0	0	3	0
ENSG00000115750	TAF1B	DataElement[ENSG00000115750] class=class ru.biosoft.bsa.project.ProjectAsLists	25	0	0	0	0	0	0	0	0	1	0	8	0	13	0	1	1	1
ENSG00000087586	AURKA	DataElement[ENSG00000087586] class=class ru.biosoft.bsa.project.ProjectAsLists	22	0	0	0	1	0	1	0	0	1	0	0	0	17	0	0	2	0
ENSG00000175216	CKAP5	DataElement[ENSG00000175216] class=class ru.biosoft.bsa.project.ProjectAsLists	21	0	0	0	0	0	0	0	0	0	1	6	0	12	0	0	2	0
ENSG00000108654	DDX5	DataElement[ENSG00000108654] class=class ru.biosoft.bsa.project.ProjectAsLists	19	1	0	0	0	0	0	1	0	1	2	2	1	6	0	1	3	1
ENSG00000145386	CCNA2	DataElement[ENSG00000145386] class=class ru.biosoft.bsa.project.ProjectAsLists	15	0	0	0	0	0	0	0	0	0	1	1	0	13	0	0	0	0
ENSG00000170312	CDK1	DataElement[ENSG00000170312] class=class ru.biosoft.bsa.project.ProjectAsLists	13	0	0	1	0	0	0	1	0	0	1	0	0	9	0	0	1	0
ENSG00000135046	ANXA1	DataElement[ENSG00000135046] class=class ru.biosoft.bsa.project.ProjectAsLists	7	0	0	0	0	0	0	1	0	0	1	0	0	4	0	0	1	0
